Name,Defending,Sliding_Tackle,Standing_Tackle,Interceptions
Cristiano Ronaldo,27.666666666666668,23,31,29
Lionel Messi,25.333333333333332,26,28,22
Neymar,31.0,33,24,36
Luis Suárez,41.333333333333336,38,45,41
Manuel Neuer,17.0,11,10,30
De Gea,21.333333333333332,13,21,30
Robert Lewandowski,33.333333333333336,19,42,39
Gareth Bale,55.333333333333336,52,55,59
Zlatan Ibrahimović,29.333333333333332,27,41,20
Thibaut Courtois,16.333333333333332,16,18,15
Jérôme Boateng,89.0,91,92,84
Eden Hazard,30.0,22,27,41
Luka Modrić,76.33333333333333,73,80,76
Mesut Özil,19.666666666666668,19,16,24
Gonzalo Higuaín,20.0,18,22,20
Thiago Silva,90.33333333333333,89,91,91
Sergio Ramos,89.0,90,89,88
Sergio Agüero,18.666666666666668,12,20,24
Paul Pogba,73.66666666666667,76,75,70
Antoine Griezmann,22.666666666666668,11,22,35
Kevin De Bruyne,43.666666666666664,40,39,52
Marco Reus,44.0,46,36,50
Alexis Sánchez,38.666666666666664,35,39,42
Toni Kroos,72.33333333333333,65,75,77
Diego Godín,87.66666666666667,89,86,88
Mats Hummels,89.33333333333333,87,92,89
Hugo Lloris,18.333333333333332,18,10,27
Giorgio Chiellini,90.0,90,92,88
Philipp Lahm,91.66666666666667,95,87,93
Pepe,88.0,89,87,88
Petr Čech,16.0,12,13,23
Gianluigi Buffon,16.666666666666668,11,11,28
Iniesta,60.333333333333336,56,57,68
Jan Oblak,16.333333333333332,18,12,19
James Rodríguez,42.333333333333336,30,42,55
Pierre-Emerick Aubameyang,36.333333333333336,36,25,48
Leonardo Bonucci,88.66666666666667,88,88,90
Arturo Vidal,87.33333333333333,84,89,89
Ivan Rakitić,62.333333333333336,53,65,69
David Silva,37.333333333333336,29,42,41
Samir Handanovič,15.0,13,10,22
Piqué,87.0,86,87,88
Arjen Robben,30.333333333333332,26,26,39
Paulo Dybala,21.333333333333332,20,20,24
Marco Verratti,81.33333333333333,79,82,83
David Alaba,83.66666666666667,83,83,85
Henrikh Mkhitaryan,58.666666666666664,55,53,68
Bernd Leno,18.333333333333332,18,15,22
Thomas Müller,47.666666666666664,44,41,58
Sergio Busquets,83.66666666666667,80,85,86
Thiago,66.66666666666667,62,64,74
Jordi Alba,83.33333333333333,83,84,83
Coutinho,38.0,40,44,30
Ángel Di María,51.0,56,59,38
Diego Costa,37.666666666666664,34,39,40
Edinson Cavani,40.0,27,45,48
Radja Nainggolan,86.33333333333333,88,85,86
Marcelo,84.66666666666667,87,84,83
Claudio Marchisio,79.33333333333333,78,78,82
Miranda,89.0,89,90,88
Karim Benzema,16.333333333333332,12,15,22
