Name,Dribbling,Skill_Moves,Ball_Control,Attacking_Position,Balance,Agility
Cristiano Ronaldo,69.0,5,93,94,63,90
Lionel Messi,75.4,4,95,93,95,90
Neymar,73.6,5,95,90,82,96
Luis Suárez,66.6,4,91,92,60,86
Manuel Neuer,29.6,1,48,12,35,52
De Gea,28.8,1,31,12,43,57
Robert Lewandowski,67.2,3,87,89,79,78
Gareth Bale,64.0,4,88,86,65,77
Zlatan Ibrahimović,61.4,4,90,86,41,86
Thibaut Courtois,28.6,1,23,13,45,61
Jérôme Boateng,46.6,2,72,47,54,58
Eden Hazard,72.4,4,91,85,90,92
Luka Modrić,72.4,4,92,79,94,93
Mesut Özil,66.4,4,90,84,70,84
Gonzalo Higuaín,64.8,3,85,92,69,75
Thiago Silva,57.0,3,80,59,68,75
Sergio Ramos,55.6,3,83,52,60,80
Sergio Agüero,72.0,4,89,91,90,86
Paul Pogba,63.8,5,90,84,61,79
Antoine Griezmann,70.2,4,86,91,80,90
Kevin De Bruyne,65.4,4,86,84,75,78
Marco Reus,69.0,4,85,87,82,87
Alexis Sánchez,70.6,4,86,86,87,90
Toni Kroos,59.2,3,85,76,62,70
Diego Godín,49.4,2,76,48,58,63
Mats Hummels,51.4,2,77,56,58,64
Hugo Lloris,30.8,1,34,10,54,55
Giorgio Chiellini,41.8,2,55,28,65,59
Philipp Lahm,66.6,3,86,69,93,82
Pepe,43.2,2,62,40,49,63
Petr Čech,23.8,1,22,13,34,49
Gianluigi Buffon,29.0,1,28,12,49,55
Iniesta,70.0,4,93,85,86,82
Jan Oblak,28.8,1,16,11,49,67
James Rodríguez,64.8,4,85,80,73,82
Pierre-Emerick Aubameyang,64.6,3,82,89,69,80
Leonardo Bonucci,46.2,2,75,38,55,61
Arturo Vidal,63.6,3,83,80,77,75
Ivan Rakitić,61.4,3,87,80,66,71
David Silva,71.0,4,90,81,88,92
Samir Handanovič,23.0,1,24,12,36,42
Piqué,48.0,2,78,58,44,58
Arjen Robben,71.6,4,89,85,91,89
Paulo Dybala,71.2,4,91,85,85,91
Marco Verratti,68.6,4,87,71,94,87
David Alaba,64.4,3,83,77,77,82
Henrikh Mkhitaryan,69.4,4,89,83,83,88
Bernd Leno,25.2,1,22,7,44,52
Thomas Müller,65.4,3,82,93,72,77
Sergio Busquets,54.6,3,80,77,55,58
Thiago,70.8,5,91,83,85,90
Jordi Alba,68.0,3,84,77,86,90
Coutinho,71.4,4,88,83,91,91
Ángel Di María,68.6,5,87,82,79,90
Diego Costa,56.8,3,83,88,52,58
Edinson Cavani,62.6,3,80,89,59,82
Radja Nainggolan,68.2,3,85,88,84,81
Marcelo,65.0,4,87,75,82,77
Claudio Marchisio,66.2,4,85,82,79,81
