Name,GoalKeeping,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
Cristiano Ronaldo,11.6,14.0,7.0,15.0,11.0,11.0
Lionel Messi,10.8,14.0,6.0,15.0,11.0,8.0
Neymar,11.8,15.0,9.0,15.0,9.0,11.0
Luis Suárez,30.6,33.0,27.0,31.0,25.0,37.0
Manuel Neuer,90.8,91.0,89.0,95.0,90.0,89.0
De Gea,87.2,86.0,88.0,87.0,85.0,90.0
Robert Lewandowski,10.2,8.0,15.0,12.0,6.0,10.0
Gareth Bale,10.4,5.0,15.0,11.0,15.0,6.0
Zlatan Ibrahimović,11.8,9.0,13.0,10.0,15.0,12.0
Thibaut Courtois,83.8,86.0,84.0,69.0,91.0,89.0
Jérôme Boateng,9.0,6.0,7.0,15.0,12.0,5.0
Eden Hazard,9.0,8.0,11.0,6.0,12.0,8.0
Luka Modrić,10.4,14.0,13.0,7.0,9.0,9.0
Mesut Özil,10.0,6.0,6.0,10.0,14.0,14.0
Gonzalo Higuaín,7.8,5.0,5.0,7.0,12.0,10.0
Thiago Silva,9.0,9.0,9.0,5.0,12.0,10.0
Sergio Ramos,9.2,7.0,11.0,9.0,8.0,11.0
Sergio Agüero,11.8,11.0,13.0,6.0,15.0,14.0
Paul Pogba,4.0,4.0,5.0,2.0,6.0,3.0
Antoine Griezmann,12.6,13.0,14.0,14.0,8.0,14.0
Kevin De Bruyne,11.2,10.0,15.0,5.0,13.0,13.0
Marco Reus,12.2,13.0,12.0,13.0,12.0,11.0
Alexis Sánchez,12.0,12.0,10.0,15.0,10.0,13.0
Toni Kroos,10.2,7.0,10.0,13.0,11.0,10.0
Diego Godín,9.8,5.0,6.0,15.0,8.0,15.0
Mats Hummels,8.4,5.0,15.0,10.0,6.0,6.0
Hugo Lloris,82.8,82.0,87.0,68.0,87.0,90.0
Giorgio Chiellini,3.0,4.0,3.0,2.0,3.0,3.0
Philipp Lahm,9.4,14.0,11.0,5.0,12.0,5.0
Pepe,9.4,9.0,8.0,5.0,15.0,10.0
Petr Čech,84.0,85.0,83.0,77.0,90.0,85.0
Gianluigi Buffon,83.4,90.0,87.0,68.0,88.0,84.0
Iniesta,9.0,13.0,6.0,6.0,13.0,7.0
Jan Oblak,83.8,87.0,83.0,77.0,90.0,82.0
James Rodríguez,12.8,5.0,15.0,15.0,15.0,14.0
Pierre-Emerick Aubameyang,9.6,9.0,6.0,15.0,9.0,9.0
Leonardo Bonucci,2.6,2.0,2.0,3.0,2.0,4.0
Arturo Vidal,3.2,2.0,4.0,4.0,2.0,4.0
Ivan Rakitić,10.2,5.0,14.0,12.0,11.0,9.0
David Silva,1.0,1.0,1.0,1.0,1.0,1.0
Samir Handanovič,83.2,86.0,86.0,69.0,89.0,86.0
Piqué,11.6,15.0,10.0,14.0,11.0,8.0
Arjen Robben,9.8,5.0,10.0,11.0,8.0,15.0
Paulo Dybala,5.2,5.0,5.0,4.0,4.0,8.0
Marco Verratti,12.8,15.0,12.0,15.0,12.0,10.0
David Alaba,10.0,15.0,5.0,14.0,7.0,9.0
Henrikh Mkhitaryan,8.4,5.0,5.0,14.0,11.0,7.0
Bernd Leno,83.0,85.0,85.0,76.0,86.0,83.0
Thomas Müller,10.4,14.0,6.0,11.0,7.0,14.0
Sergio Busquets,9.6,9.0,5.0,13.0,8.0,13.0
Thiago,9.2,9.0,6.0,7.0,11.0,13.0
Jordi Alba,12.0,6.0,13.0,13.0,15.0,13.0
Coutinho,9.6,14.0,12.0,9.0,7.0,6.0
Ángel Di María,10.2,12.0,10.0,11.0,7.0,11.0
Diego Costa,11.0,8.0,11.0,12.0,13.0,11.0
Edinson Cavani,10.6,13.0,12.0,13.0,5.0,10.0
Radja Nainggolan,11.0,8.0,11.0,14.0,11.0,11.0
Marcelo,7.2,5.0,12.0,5.0,5.0,9.0
