Name,Passing,Vision,Crossing,Short_Pass,Long_Pass,Curve,Volleys
Cristiano Ronaldo,83.0,85.0,84.0,83.0,77.0,81.0,88.0
Lionel Messi,86.0,90.0,77.0,88.0,87.0,89.0,85.0
Neymar,78.83333333333333,80.0,75.0,81.0,75.0,79.0,83.0
Luis Suárez,80.33333333333333,84.0,77.0,83.0,64.0,86.0,88.0
Manuel Neuer,37.333333333333336,70.0,15.0,55.0,59.0,14.0,11.0
De Gea,30.333333333333332,68.0,17.0,31.0,32.0,21.0,13.0
Robert Lewandowski,75.16666666666667,78.0,62.0,83.0,65.0,77.0,86.0
Gareth Bale,82.33333333333333,79.0,87.0,86.0,80.0,86.0,76.0
Zlatan Ibrahimović,82.33333333333333,83.0,76.0,84.0,76.0,82.0,93.0
Thibaut Courtois,25.333333333333332,44.0,14.0,32.0,31.0,19.0,12.0
Jérôme Boateng,68.16666666666667,76.0,69.0,75.0,80.0,56.0,53.0
Eden Hazard,81.83333333333333,86.0,80.0,84.0,80.0,82.0,79.0
Luka Modrić,82.66666666666667,90.0,78.0,92.0,83.0,79.0,74.0
Mesut Özil,84.83333333333333,93.0,82.0,89.0,84.0,84.0,77.0
Gonzalo Higuaín,72.0,70.0,68.0,73.0,59.0,74.0,88.0
Thiago Silva,69.66666666666667,74.0,60.0,79.0,81.0,61.0,63.0
Sergio Ramos,69.0,63.0,66.0,76.0,70.0,73.0,66.0
Sergio Agüero,77.0,83.0,70.0,79.0,63.0,82.0,85.0
Paul Pogba,83.66666666666667,86.0,78.0,85.0,87.0,82.0,84.0
Antoine Griezmann,80.5,76.0,82.0,79.0,75.0,84.0,87.0
Kevin De Bruyne,85.33333333333333,88.0,90.0,89.0,82.0,81.0,82.0
Marco Reus,85.33333333333333,86.0,83.0,86.0,79.0,90.0,88.0
Alexis Sánchez,79.33333333333333,82.0,80.0,80.0,73.0,78.0,83.0
Toni Kroos,87.0,88.0,85.0,89.0,93.0,85.0,82.0
Diego Godín,58.666666666666664,52.0,55.0,79.0,70.0,49.0,47.0
Mats Hummels,71.33333333333333,79.0,64.0,78.0,82.0,65.0,60.0
Hugo Lloris,20.5,30.0,13.0,27.0,31.0,11.0,11.0
Giorgio Chiellini,54.5,50.0,58.0,55.0,59.0,60.0,45.0
Philipp Lahm,78.66666666666667,82.0,84.0,86.0,77.0,77.0,66.0
Pepe,48.666666666666664,48.0,46.0,70.0,61.0,44.0,23.0
Petr Čech,28.333333333333332,53.0,19.0,35.0,33.0,13.0,17.0
Gianluigi Buffon,28.666666666666668,50.0,13.0,37.0,35.0,20.0,17.0
Iniesta,84.16666666666667,94.0,79.0,92.0,86.0,80.0,74.0
Jan Oblak,24.833333333333332,55.0,13.0,29.0,26.0,13.0,13.0
James Rodríguez,86.0,86.0,88.0,84.0,80.0,87.0,91.0
Pierre-Emerick Aubameyang,76.5,77.0,77.0,77.0,64.0,78.0,86.0
Leonardo Bonucci,64.5,74.0,44.0,75.0,83.0,56.0,55.0
Arturo Vidal,79.33333333333333,80.0,76.0,84.0,82.0,76.0,78.0
Ivan Rakitić,85.83333333333333,87.0,81.0,87.0,92.0,88.0,80.0
David Silva,84.83333333333333,92.0,85.0,91.0,78.0,83.0,80.0
Samir Handanovič,24.5,41.0,12.0,36.0,34.0,12.0,12.0
Piqué,65.83333333333333,62.0,57.0,81.0,80.0,58.0,57.0
Arjen Robben,81.66666666666667,83.0,80.0,84.0,71.0,86.0,86.0
Paulo Dybala,81.0,82.0,78.0,83.0,67.0,88.0,88.0
Marco Verratti,78.66666666666667,86.0,72.0,90.0,87.0,73.0,64.0
David Alaba,78.16666666666667,78.0,82.0,83.0,80.0,78.0,68.0
Henrikh Mkhitaryan,81.16666666666667,85.0,80.0,85.0,73.0,83.0,81.0
Bernd Leno,25.166666666666668,53.0,9.0,37.0,33.0,9.0,10.0
Thomas Müller,78.0,81.0,74.0,81.0,68.0,81.0,83.0
Sergio Busquets,70.5,84.0,62.0,88.0,79.0,66.0,44.0
