Rating_Group,Name,Rating
High,Cristiano Ronaldo,94
High,Lionel Messi,93
High,Neymar,92
High,Luis Suárez,92
High,Manuel Neuer,92
High,De Gea,90
High,Robert Lewandowski,90
High,Gareth Bale,90
High,Zlatan Ibrahimović,90
High,Thibaut Courtois,89
High,Jérôme Boateng,89
High,Eden Hazard,89
High,Luka Modrić,89
High,Mesut Özil,89
High,Gonzalo Higuaín,89
High,Thiago Silva,89
High,Sergio Ramos,89
High,Sergio Agüero,89
High,Paul Pogba,88
High,Antoine Griezmann,88
High,Kevin De Bruyne,88
High,Marco Reus,88
High,Alexis Sánchez,88
High,Toni Kroos,88
High,Diego Godín,88
High,Mats Hummels,88
High,Hugo Lloris,88
High,Giorgio Chiellini,88
High,Philipp Lahm,88
High,Pepe,88
High,Petr Čech,88
High,Gianluigi Buffon,88
High,Iniesta,88
High,Jan Oblak,87
High,James Rodríguez,87
High,Pierre-Emerick Aubameyang,87
High,Leonardo Bonucci,87
High,Arturo Vidal,87
High,Ivan Rakitić,87
High,David Silva,87
High,Samir Handanovič,87
High,Piqué,87
High,Arjen Robben,87
High,Paulo Dybala,86
High,Marco Verratti,86
High,David Alaba,86
High,Henrikh Mkhitaryan,86
High,Bernd Leno,86
High,Thomas Müller,86
High,Sergio Busquets,86
High,Thiago,86
High,Jordi Alba,86
High,Coutinho,86
High,Ángel Di María,86
High,Diego Costa,86
High,Edinson Cavani,86
High,Radja Nainggolan,86
High,Marcelo,86
High,Claudio Marchisio,86
High,Miranda,86
High,Karim Benzema,86
High,Cesc Fàbregas,86
High,Franck Ribéry,86
High,Santi Cazorla,86
High,Andrea Barzagli,86
High,Harry Kane,85
High,Alexandre Lacazette,85
High,Keylor Navas,85
High,Romelu Lukaku,85
High,Christian Eriksen,85
High,İlkay Gündoğan,85
High,Toby Alderweireld,85
High,Willian,85
High,Miralem Pjanić,85
High,Juan Mata,85
High,Javi Martinez,85
High,Dimitri Payet,85
High,Dries Mertens,85
High,Sokratis,85
High,Marek Hamšik,85
High,Blaise Matuidi,85
High,Stéphane Ruffier,85
High,Laurent Koscielny,85
High,Filipe Luís,85
High,Vincent Kompany,85
Medium,Aymeric Laporte,84
Medium,Yannick Carrasco,84
Medium,Carvajal,84
Medium,Riyad Mahrez,84
Medium,Raphaël Varane,84
Medium,Mauro Icardi,84
Medium,Lorenzo Insigne,84
Medium,Isco,84
Medium,Koke,84
Medium,Kostas Manolas,84
Medium,Danijel Subašić,84
Medium,Nicolás Otamendi,84
Medium,Shkodran Mustafi,84
Medium,Nemanja Matić,84
Medium,Alex Sandro,84
Medium,Kamil Glik,84
Medium,Douglas Costa,84
Medium,Kevin Strootman,84
Medium,Nicolás Gaitán,84
Medium,Bruno,84
Medium,Ivan Perišić,84
Medium,David Luiz,84
Medium,Sami Khedira,84
Medium,Benedikt Höwedes,84
Medium,Ralf Fährmann,84
Medium,Sergio Asenjo,84
Medium,Éver Banega,84
Medium,Medhi Benatia,84
Medium,Steve Mandanda,84
Medium,Dani Alves,84
Medium,Arda Turan,84
Medium,Javier Mascherano,84
Medium,Aduriz,84
Medium,Yaya Touré,84
Medium,Eric Bailly,83
Medium,José María Giménez,83
Medium,N'Golo Kanté,83
Medium,Gerónimo Rulli,83
Medium,João Mário,83
Medium,André Gomes,83
Medium,Marquinhos,83
Medium,Carlos Bacca,83
Medium,William Carvalho,83
Medium,Karim Bellarabi,83
Medium,Raheem Sterling,83
Medium,Julian Draxler,83
Medium,Roberto Firmino,83
Medium,Marcos Rojo,83
Medium,Kalidou Koulibaly,83
Medium,Danilo Pereira,83
Medium,Timo Horn,83
Medium,Casemiro,83
Medium,Vitolo,83
Medium,Anthony Lopes,83
Medium,Mattia Perin,83
Medium,Joel Matip,83
Medium,Juan Cuadrado,83
Medium,Iago Aspas,83
Medium,Marc-André ter Stegen,83
Medium,Mario Götze,82
Medium,Ander Herrera,83
Medium,Javier Pastore,83
Medium,Chris Smalling,83
Medium,Pedro,83
Medium,Giacomo Bonaventura,83
Medium,Roman Bürki,83
Medium,Oscar,83
Medium,Steven N'Zonzi,83
Medium,Aaron Ramsey,83
Medium,Mateo Musacchio,83
Medium,Ömer Toprak,83
Medium,José Callejón,83
Medium,Adrien Silva,83
Medium,Azpilicueta,83
Medium,Sebastian Giovinco,83
Medium,Anthony Modeste,83
Medium,Mario Mandžukić,83
Medium,Adam Lallana,83
Medium,Olivier Giroud,83
Medium,Rui Patrício,83
Medium,Yann Sommer,83
Medium,Jonas,83
Medium,Kévin Gameiro,83
Medium,Claudio Bravo,83
Medium,Łukasz Piszczek,83
Medium,Jan Vertonghen,83
Medium,Asmir Begović,83
Medium,Naldo,83
Medium,Daniel Sturridge,83
Medium,José Fonte,83
Medium,Ezequiel Garay,83
Medium,Samir Nasri,83
Medium,Gary Cahill,83
Medium,Ashley Williams,83
Medium,Leighton Baines,83
Medium,Kasper Schmeichel,83
Medium,Borja Valero,83
Medium,Hatem Ben Arfa,83
Medium,Joe Hart,83
Medium,Juanfran,83
Medium,Wesley Sneijder,83
Medium,Nani,83
Medium,Stephan Lichtsteiner,83
Medium,Wayne Rooney,83
Medium,Daniele De Rossi,83
Medium,José Reina,83
Medium,Quaresma,83
Medium,Marco Asensio,82
Medium,Bernardo Silva,83
Medium,Islam Slimani,82
Medium,Jonathan Tah,82
Medium,Anthony Martial,82
Medium,Dele Alli,82
Medium,Ederson,82
Medium,Mohamed Salah,82
Medium,Sadio Mané,82
Medium,Lucas Vázquez,82
Medium,Franco Vázquez,82
Medium,Manu Trigueros,82
Medium,Samuel Umtiti,82
Medium,Stefan Savić,82
Medium,Roque Mesa,82
Medium,Loris Karius,82
Medium,Alessandro Florenzi,82
Medium,Virgil van Dijk,82
Medium,Jack Butland,82
Medium,Morata,82
Medium,Lucas,82
Medium,Yevhen Konoplyanka,82
Medium,Francesco Acerbi,82
Medium,Nolito,82
Medium,Granit Xhaka,82
Medium,Stefan de Vrij,82
Medium,Jonathan Viera,82
Medium,Pizzi,82
Medium,Serge Aurier,82
Medium,Grzegorz Krychowiak,82
Medium,Kevin Kampl,82
Medium,Dejan Lovren,82
Medium,Gary Medel,82
Medium,Idrissa Gueye,82
Medium,Víctor Ruíz,82
Medium,Ricardo Rodríguez,82
Medium,Xherdan Shaqiri,82
Medium,Ciro Immobile,82
Medium,Nathaniel Clyne,82
Medium,Iborra,82
Medium,Jack Wilshere,82
Medium,Shinji Kagawa,82
Medium,Kevin Trapp,82
Medium,Taison,82
Medium,Kyle Walker,82
Medium,Marlos,82
Medium,Luiz Gustavo,82
Medium,Giuliano,82
Medium,Gylfi Sigurðsson,82
Medium,Yacine Brahimi,82
Medium,Marko Arnautović,82
Medium,Jordan Henderson,82
Medium,Orestis Karnezis,82
Medium,Mamadou Sakho,81
Medium,Adil Rami,82
Medium,Fernando Néstor Muslera,82
Medium,Vedran Ćorluka,82
Medium,Edin Džeko,82
Medium,Séamus Coleman,82
Medium,Javier Hernández,82
Medium,Beñat,82
Medium,Lars Bender,82
Medium,Axel Witsel,82
Medium,Morgan Schneiderlin,82
Medium,Kevin Mirallas,82
Medium,Carlos Vela,82
Medium,Emiliano Viviano,82
Medium,Antonio Valencia,82
Medium,Gonzalo Castro,82
Medium,Falcao,82
Medium,Diego Alves,82
Medium,Andrea Consigli,82
Medium,João Moutinho,82
Medium,Moussa Dembélé,82
Medium,Michael Krohn-Dehli,82
Medium,Loïc Perrin,82
Medium,Lucas Biglia,82
Medium,Benoît Costil,82
Medium,Raúl Albiol,82
Medium,Mario Gómez,82
Medium,Gabi,82
Medium,Diego López,82
Medium,Raffael,82
Medium,Alejandro Gómez,82
Medium,Gonzalo Rodríguez,82
Medium,Vincent Enyeama,82
Medium,Kaká,82
Medium,Fernandinho,82
Medium,David Villa,82
Medium,Victor Valdés,82
Medium,Per Mertesacker,82
Medium,Patrice Evra,82
Medium,Xabi Alonso,82
Medium,Michael Carrick,82
Medium,Andrea Pirlo,82
Medium,Casillas,82
Medium,Ousmane Dembélé,81
Medium,Corentin Tolisso,81
Medium,Marcelo Brozović,81
Medium,Federico Bernardeschi,81
Medium,Niklas Süle,81
Medium,Domenico Berardi,81
Medium,Morgan Sanson,81
Medium,Samu Castillejo,81
Medium,Adrien Rabiot,81
Medium,Leon Goretzka,81
Medium,Quincy Promes,81
Medium,Andrea Belotti,81
Medium,Jonas Hector,81
Medium,Mateo Kovačić,81
Medium,Sergio Rico,81
Medium,Oleg Shatov,81
Medium,Jorginho,81
Medium,Florian Thauvin,81
Medium,Michy Batshuayi,80
Medium,Iñigo Martínez,81
Medium,Suso,81
Medium,Deulofeu,81
Medium,Felipe Anderson,81
Medium,Jasper Cillessen,81
Medium,Wissam Ben Yedder,81
Medium,Lucas Pérez,81
Medium,Ross Barkley,81
Medium,Cédric Bakambu,81
Medium,Bartra,81
Medium,André Schürrle,81
Medium,Roberto Pereyra,81
Medium,Mario Gaspar,81
Medium,Fabián Orellana,81
Medium,Lukáš Hrádecký,81
Medium,Daley Blind,81
Medium,De Marcos,81
Medium,Wilfried Bony,81
Medium,Iturraspe,81
Medium,Parejo,81
Medium,Salomón Rondón,81
Medium,Daniel Carriço,81
Medium,Bas Dost,81
Medium,James McCarthy,81
Medium,Camacho,81
Medium,Paulinho,81
Medium,Alan Dzagoev,81
Medium,Igor Smolnikov,81
Medium,Lars Stindl,81
Medium,Mario Balotelli,81
Medium,Wojciech Szczęsny,81
Medium,Nikola Kalinić,81
Medium,Mikel San José,81
Medium,Christian Benteke,81
Medium,Marco Parolo,81
Medium,Ljubomir Fejsa,81
Medium,Martín Cáceres,81
Medium,Georginio Wijnaldum,81
Medium,Federico Fazio,81
Medium,Simon Kjær,81
Medium,Loïc Rémy,81
Medium,Miguel Layún,81
Medium,Adán,81
Medium,Benoît Trémoulinas,81
Medium,Sven Bender,81
Medium,Mathieu Valbuena,81
Medium,Bojan,81
Medium,Augusto Fernández,81
Medium,Antonio Candreva,81
Medium,Davide Astori,81
Medium,Raúl García,81
Medium,Giovani dos Santos,81
Medium,Erik Lamela,81
Medium,Ryan Shawcross,81
Medium,Danny Rose,81
Medium,Renato Augusto,81
Medium,Martin Škrtel,81
Medium,Theo Walcott,81
Medium,Bacary Sagna,81
Medium,Dante,81
Medium,Salomon Kalou,81
Medium,André-Pierre Gignac,81
Medium,Lukas Podolski,81
Medium,Negredo,81
Medium,Pablo Zabaleta,81
Medium,Darijo Srna,81
Medium,Cédric Carrasso,81
Medium,Rubén Castro,81
Medium,Jérémy Mathieu,81
Medium,Carlos Idriss Kameni,81
Medium,Moyá,81
Medium,Rune Almenning Jarstein,81
Medium,Jermain Defoe,81
Medium,Thiago Motta,81
Medium,Fernando Torres,81
Medium,Júlio César,81
Medium,Didier Drogba,81
Medium,Danny,81
Medium,John Terry,81
Medium,Samuel Eto'o,81
Medium,Tiago,81
Medium,Gelson Martins,80
Medium,Leroy Sané,80
Medium,Julian Weigl,81
Medium,Nabil Fekir,80
Medium,Jean Michaël Seri,80
Medium,Williams,80
Medium,Marco Sportiello,80
Medium,Keita Baldé Diao,80
Medium,Nikola Maksimović,80
Medium,Thomas Lemar,80
Medium,Kingsley Coman,80
Medium,Alisson,80
Medium,Joshua Kimmich,80
Medium,Julian Brandt,80
Medium,Sofiane Boufal,80
Medium,Bruma,80
Medium,Daniele Rugani,80
Medium,Raphaël Guerreiro,80
Medium,Fabinho,80
Medium,Jamie Vardy,81
Medium,Hakim Ziyech,80
Medium,Emil Forsberg,80
Medium,Saúl,80
Medium,Felipe,80
Medium,Taras Stepanenko,80
Medium,Luke Shaw,80
Medium,Leo Baptistao,80
Medium,Antonio Rüdiger,80
Medium,Matija Nastasić,80
Medium,Denis Suárez,80
Medium,Kurt Zouma,80
Medium,John Brooks,80
Medium,Héctor Bellerín,80
Medium,Thorgan Hazard,80
Medium,Davy Klaassen,80
Medium,Valère Germain,80
Medium,Paul-Georges Ntep,80
Medium,Layvin Kurzawa,80
Medium,Rafinha,80
Medium,Jeison Murillo,80
Medium,Riccardo Saponara,80
Medium,Djibril Sidibé,80
Medium,Nacho Fernández,80
Medium,Josip Iličić,80
Medium,Kevin Volland,80
Medium,Allan,80
Medium,Pablo Hernández,80
Medium,Sergi Roberto,80
Medium,Wilfried Zaha,80
Medium,Manolo Gabbiadini,80
Medium,Josuha Guilavogui,80
Medium,Patrick Herrmann,80
Medium,Sebastián Coates,80
Medium,Oğuzhan Özyakup,80
Medium,Yaroslav Rakitskyi,80
Medium,Phil Jones,80
Medium,Adrián,80
Medium,Neto,80
Medium,Hugo Mallo,80
Medium,Daniel Didavi,80
Medium,Younès Belhanda,80
Medium,Oliver Baumann,80
Medium,Mário Fernandes,80
Medium,Roberto Soriano,80
Medium,Jesús Corona,80
Medium,Maxime Gonalons,80
Medium,Alphonse Areola,80
Medium,Yunus Mallı,80
Medium,Eduardo Salvio,80
Medium,Stephan El Shaarawy,80
Medium,Iago Falqué,80
Medium,Marwin Hitz,80
Medium,Thimothée Kolodziejczak,80
Medium,Francis Coquelin,80
Medium,Marcel Schmelzer,80
Medium,Ryad Boudebouz,80
Medium,Ganso,80
Medium,Fedor Smolov,80
Medium,Christian Noboa,80
Medium,Kwadwo Asamoah,80
Medium,Ron-Robert Zieler,80
Medium,Danny Welbeck,80
Medium,Danny Drinkwater,80
Medium,Aleksandar Kolarov,80
Medium,Matteo Darmian,80
Medium,Ibrahima Traoré,80
Medium,Diego Perotti,80
Medium,Angelo Ogbonna,80
Medium,Max Kruse,80
Medium,Konstantinos Mitroglou,80
Medium,Nordin Amrabat,80
Medium,Stevan Jovetić,80
Medium,Jeremain Lens,80
Medium,Branislav Ivanović,80
Medium,Eder,80
Medium,Kiko Casilla,80
Medium,Nacho Monreal,80
Medium,Serdar Tasci,80
Medium,Marcelo Díaz,80
Medium,André Ayew,80
Medium,Winston Reid,80
Medium,Lucas Leiva,80
Medium,Kevin-Prince Boateng,80
Medium,Héctor Moreno,80
Medium,Cristian Ansaldi,80
Medium,Daniel Wass,80
Medium,Coke,80
Medium,Andrés Guardado,80
Medium,Jonathan dos Santos,80
Medium,Ryan Bertrand,80
Medium,Jardel,80
Medium,Salvatore Sirigu,80
Medium,Yohan Cabaye,80
Medium,Vitaliy Denisov,80
Medium,Dušan Basta,80
Medium,Gustavo Cabral,80
Medium,Gabriel Paletta,80
Medium,Łukasz Fabiański,80
Medium,Ben Foster,80
Medium,Vedad Ibišević,80
Medium,Andreas Granqvist,80
Medium,Héctor Herrera,80
Medium,Igor Akinfeev,80
Medium,Fernando Belluschi,80
Medium,Andriy Pyatov,80
Medium,Antonio Mirante,80
Medium,Federico Marchetti,80
Medium,James Milner,80
Medium,Michel Vorm,80
Medium,Daniel Baier,80
Medium,Atiba Hutchinson,80
Medium,Mehmet Topal,80
Medium,Bastian Schweinsteiger,82
Medium,René Adler,80
Medium,Jérémy Toulalan,80
Medium,Phil Jagielka,80
Medium,Stefano Sorrentino,80
Medium,Robin van Persie,80
Medium,Gareth Barry,80
Medium,Francesco Totti,80
Medium,Gianluigi Donnarumma,79
Medium,Nélson Semedo,79
Medium,Florin Andone,79
Medium,Sergej Milinković-Savić,79
Medium,Omar Al Soma,79
Medium,Petros,79
Medium,Victor Nilsson Lindelöf,79
Medium,Naby Keïta,79
Medium,Tiémoué Bakayoko,79
Medium,Mahmoud Dahoud,79
Medium,Rúben Semedo,79
Medium,Rafa,79
Medium,Dani García,79
Medium,Lisandro López,79
Medium,Ángel Correa,79
Medium,Andreas Christensen,79
Medium,Nabil Bentaleb,79
Medium,Stanislav Kritsyuk,79
Medium,Divock Origi,79
Medium,Max Meyer,79
Medium,Gayà,79
Medium,Marco Benassi,79
Medium,Pedro Santos,79
Medium,Elseid Hysaj,79
Medium,João Cancelo,79
Medium,Alessio Romagnoli,79
Medium,Piotr Zieliński,79
Medium,Bruno Peres,79
Medium,Ricardo Pereira,79
Medium,Óliver Torres,79
Medium,Filip Kostić,79
Medium,Emre Can,79
Medium,Matthias Ginter,79
Medium,Luciano Vietto,79
Medium,Arrizabalaga,79
Medium,Maximilian Arnold,79
Medium,Alassane Pléa,79
Medium,Denis Cheryshev,79
Medium,Edin Višća,79
Medium,Bernard,79
Medium,Daniele Baselli,79
Medium,Arkadiusz Milik,79
Medium,Bernat,79
Medium,Šime Vrsaljko,79
Medium,Eric Botteghin,79
Medium,John Stones,80
Medium,Jannik Vestergaard,79
Medium,Simone Zaza,79
Medium,Sergi Darder,79
Medium,Fernando,79
Medium,Memphis Depay,79
Medium,Jesé,79
Medium,Thomas Meunier,79
Medium,Eric Dier,79
Medium,Federico Fernández,79
Medium,Nicola Sansone,79
Medium,Gastón Ramírez,79
Medium,Faouzi Ghoulam,79
Medium,Gabriel,79
Medium,Vladimír Darida,79
Medium,Cédric,79
Medium,Lorenzo Tonelli,79
Medium,Benjamin Lecomte,79
Medium,Lucas Digne,79
Medium,Paco Alcácer,79
Medium,Heung Min Son,79
Medium,Vicente Gómez,79
Medium,Emre Çolak,79
Medium,André André,79
Medium,Dušan Tadić,79
Medium,Danilo,79
Medium,Pablo Sarabia,79
Medium,Alex Oxlade-Chamberlain,79
Medium,Marco Höger,79
Medium,Florian Lejeune,79
Medium,Giannelli Imbula,79
Medium,Nicolás Lodeiro,79
Medium,Daniel Caligiuri,79
Medium,Jeffrey Bruma,79
Medium,Willian José,79
Medium,Wahbi Khazri,79
Medium,Keko,79
Medium,Gil,79
Medium,Martin Braithwaite,79
Medium,Jaume Costa,79
Medium,Romain Hamouma,79
Medium,Escudero,79
Medium,Marcos Alonso,79
Medium,Holger Badstuber,79
Medium,Osvaldo Alonso,79
Medium,Juraj Kucka,79
Medium,Jeroen Zoet,79
Medium,Illarramendi,79
Medium,Adem Ljajić,79
Medium,Eliaquim Mangala,79
Medium,Canales,79
Medium,Balenziaga,79
Medium,Rafael,79
Medium,Sebastian Rudy,79
Medium,Jonathas,79
Medium,Aleksandar Dragović,79
Medium,Manuel Lanzini,79
Medium,Victor Wanyama,79
Medium,Alfred N'Diaye,79
Medium,Nicolas Nkoulou,79
Medium,Volkan Babacan,79
Medium,Seydou Doumbia,79
Medium,Pavel Mamaev,79
Medium,Artem Dzyuba,79
Medium,Maurício,79
Medium,Yann M'Vila,79
