Club,Club_Position
Real Madrid,LW
FC Barcelona,RW
FC Barcelona,LW
FC Barcelona,ST
FC Bayern,GK
Manchester Utd,GK
FC Bayern,ST
Real Madrid,RW
Manchester Utd,ST
Chelsea,GK
FC Bayern,Sub
Chelsea,LW
Real Madrid,RCM
Arsenal,CAM
Juventus,ST
PSG,LCB
Real Madrid,LCB
Manchester City,ST
Manchester Utd,LCM
Atlético Madrid,RS
Manchester City,RCM
Bor. Dortmund,LW
Arsenal,ST
Real Madrid,LCM
Atlético Madrid,LCB
FC Bayern,LCB
Spurs,GK
Juventus,LCB
FC Bayern,RB
Real Madrid,RCB
Arsenal,GK
Juventus,GK
FC Barcelona,LM
Atlético Madrid,GK
Real Madrid,CAM
Bor. Dortmund,ST
Juventus,RCB
FC Bayern,LDM
FC Barcelona,CAM
Manchester City,LCM
Inter,GK
FC Barcelona,RCB
FC Bayern,RM
Juventus,CAM
PSG,RCM
FC Bayern,LB
Manchester Utd,RW
Bayer 04,GK
FC Bayern,CAM
FC Barcelona,CDM
FC Bayern,RDM
FC Barcelona,LCB
Liverpool,LW
PSG,RW
Chelsea,ST
PSG,ST
Roma,LF
Real Madrid,LB
Juventus,Sub
Inter,RCB
Real Madrid,ST
Chelsea,Sub
FC Bayern,Sub
Arsenal,Sub
Juventus,Sub
Spurs,RS
Olym. Lyonnais,ST
Real Madrid,GK
Everton,ST
Spurs,CAM
Manchester City,Sub
Spurs,CB
Chelsea,Sub
Juventus,RDM
Manchester Utd,Sub
FC Bayern,RCB
Olym. Marseille,LW
Napoli,ST
Bor. Dortmund,CB
Napoli,LCM
PSG,LCM
AS Saint-Étienne,GK
Arsenal,LCB
Atlético Madrid,LB
Manchester City,Sub
Athletic Bilbao,LCB
Atlético Madrid,LM
Real Madrid,RB
Leicester City,RM
Real Madrid,Sub
Inter,ST
Napoli,LW
Real Madrid,Sub
Atlético Madrid,RM
Roma,RCB
AS Monaco,GK
Manchester City,LCB
Arsenal,RCB
Chelsea,LCM
Juventus,LB
AS Monaco,RCB
FC Bayern,LM
Roma,LCM
Atlético Madrid,Sub
Villarreal CF,LCM
Inter,LAM
Chelsea,CB
Juventus,LDM
FC Schalke 04,RCB
FC Schalke 04,GK
Villarreal CF,Sub
Inter,CAM
Juventus,Sub
Crystal Palace,Sub
Juventus,Sub
FC Barcelona,Sub
FC Barcelona,Sub
Athletic Bilbao,ST
Manchester City,CDM
Manchester Utd,RCB
Atlético Madrid,Sub
Chelsea,RCM
Real Sociedad,GK
Inter,Sub
FC Barcelona,Sub
PSG,RCB
Milan,ST
Sporting CP,CDM
Bayer 04,RM
Manchester City,RW
PSG,LW
Liverpool,ST
Manchester Utd,Sub
Napoli,LCB
FC Porto,CDM
1. FC Köln,GK
Real Madrid,Sub
Sevilla FC,LM
Olym. Lyonnais,GK
Genoa,Res
Liverpool,RCB
Juventus,RM
Celta Vigo,RW
FC Barcelona,GK
Bor. Dortmund,Sub
Manchester Utd,RCM
PSG,Sub
Manchester Utd,LCB
Chelsea,RW
Milan,Res
Bor. Dortmund,GK
Free Agents,Res
Sevilla FC,LDM
Arsenal,Sub
Villarreal CF,RCB
Bayer 04,RCB
Napoli,RW
Sporting CP,CM
Chelsea,RCB
Toronto FC,LS
1. FC Köln,LS
Juventus,LM
Liverpool,RCM
Arsenal,Sub
Sporting CP,GK
Bor. M'gladbach,GK
SL Benfica,LS
Atlético Madrid,LS
Manchester City,Sub
Bor. Dortmund,RCB
Spurs,LCB
Chelsea,Sub
FC Schalke 04,Sub
Liverpool,Sub
West Ham,RCB
Valencia CF,RCB
Sevilla FC,CAM
Chelsea,LCB
Everton,LCB
Everton,LB
Leicester City,GK
Fiorentina,RF
PSG,Sub
Torino,GK
Atlético Madrid,RB
Galatasaray,CAM
Valencia CF,LW
Juventus,RB
Manchester Utd,Sub
Roma,RCM
Napoli,GK
Beşiktaş,RM
Real Madrid,Sub
AS Monaco,RM
Leicester City,Sub
Bayer 04,Sub
Manchester Utd,LW
Spurs,LS
SL Benfica,GK
Roma,RF
Liverpool,RW
Real Madrid,Sub
Sevilla FC,Sub
Villarreal CF,RCM
FC Barcelona,CB
Atlético Madrid,RCB
UD Las Palmas,CDM
Liverpool,Sub
Roma,Sub
Southampton,LCB
Stoke City,Sub
Real Madrid,Sub
PSG,Sub
FC Schalke 04,Sub
Sassuolo,RCB
Manchester City,Sub
Arsenal,Sub
Lazio,RCB
UD Las Palmas,LCM
SL Benfica,CM
PSG,Sub
PSG,Sub
Bayer 04,LDM
Liverpool,LCB
Inter,Sub
Everton,RDM
Villarreal CF,LCB
VfL Wolfsburg,LCB
Stoke City,RM
Lazio,ST
Liverpool,RB
Sevilla FC,Sub
Bournemouth,Sub
Bor. Dortmund,Sub
PSG,GK
Shakhtar Donetsk,LM
Spurs,RWB
Shakhtar Donetsk,RM
VfL Wolfsburg,LDM
Zenit,RCM
Swansea City,LM
FC Porto,LM
Stoke City,LM
Liverpool,CDM
Udinese,GK
Crystal Palace,LCB
Sevilla FC,RCB
Galatasaray,GK
Lokomotiv Moscow,RCB
Roma,ST
Everton,Sub
Bayer 04,ST
Athletic Bilbao,LCM
Bayer 04,RDM
Free Agents,Res
Everton,LDM
Everton,LM
Real Sociedad,RW
Sampdoria,GK
Manchester Utd,RB
Bor. Dortmund,LCM
AS Monaco,RS
Valencia CF,GK
Sassuolo,GK
AS Monaco,Sub
Spurs,LCM
Sevilla FC,Sub
AS Saint-Étienne,LCB
Lazio,CDM
Stade Rennais,GK
Napoli,RCB
VfL Wolfsburg,ST
Atlético Madrid,RCM
RCD Espanyol,GK
Bor. M'gladbach,LS
Atalanta,LS
Fiorentina,CB
LOSC Lille,GK
Orlando City,Res
Manchester City,Sub
NYCFC,ST
Middlesbrough,GK
Arsenal,Sub
Olym. Marseille,LB
FC Bayern,Sub
Manchester Utd,CDM
NYCFC,CM
FC Porto,GK
Bor. Dortmund,RW
Olym. Lyonnais,LCM
Inter,Sub
Fiorentina,LF
1899 Hoffenheim,RCB
Sassuolo,RW
Olym. Marseille,LCM
Villarreal CF,RM
PSG,CDM
FC Schalke 04,CAM
Spartak Moscow,RM
Torino,ST
1. FC Köln,LB
Real Madrid,Sub
Sevilla FC,GK
Zenit,LW
Napoli,Sub
Olym. Marseille,RW
Chelsea,Sub
Real Sociedad,LCB
Milan,RW
Milan,LW
Lazio,RW
FC Barcelona,Sub
Sevilla FC,Sub
Arsenal,Sub
Everton,RM
Villarreal CF,LS
Bor. Dortmund,LCB
Bor. Dortmund,Sub
Watford,Sub
Villarreal CF,RB
Valencia CF,CAM
Eint. Frankfurt,GK
Manchester Utd,LB
Athletic Bilbao,RB
Stoke City,Sub
Athletic Bilbao,Sub
Valencia CF,LCM
West Brom,ST
Sevilla FC,Sub
Sporting CP,RS
Everton,Sub
Málaga CF,RDM
Free Agents,Res
CSKA Moscow,RDM
Zenit,Sub
Bor. M'gladbach,RS
OGC Nice,ST
Roma,GK
Fiorentina,ST
Athletic Bilbao,RCM
Crystal Palace,ST
Lazio,RCM
SL Benfica,CDM
Southampton,Res
Liverpool,LCM
Roma,CB
Fenerbahçe,RCB
Crystal Palace,Sub
FC Porto,Sub
Real Betis,GK
Sevilla FC,Res
Bor. Dortmund,Res
Olym. Lyonnais,Sub
1. FSV Mainz 05,Sub
Atlético Madrid,Sub
Inter,RAM
Fiorentina,LCB
Athletic Bilbao,CAM
LA Galaxy,Sub
Spurs,Sub
Stoke City,RCB
Spurs,LWB
Free Agents,Res
Fenerbahçe,LCB
Arsenal,RM
Manchester City,RB
OGC Nice,LCB
Hertha BSC,LM
Tigres,ST
Galatasaray,ST
Middlesbrough,ST
Manchester City,Sub
Shakhtar Donetsk,RB
Giron. Bordeaux,GK
Real Betis,ST
FC Barcelona,Sub
Málaga CF,GK
Atlético Madrid,Sub
Hertha BSC,GK
Sunderland,ST
PSG,Sub
Atlético Madrid,Sub
SL Benfica,Sub
Free agent,
Zenit,Sub
Chelsea,Sub
Antalyaspor,ST
Atlético Madrid,Sub
Sporting CP,RM
Manchester City,LW
Bor. Dortmund,RCM
Olym. Lyonnais,CAM
OGC Nice,LCM
Athletic Bilbao,RW
Fiorentina,Sub
Lazio,LW
Napoli,Sub
AS Monaco,LM
FC Bayern,Sub
Roma,Sub
FC Bayern,Sub
Bayer 04,LM
Southampton,Sub
Galatasaray,LM
Juventus,Sub
Bor. Dortmund,LM
AS Monaco,RDM
Leicester City,LS
Ajax,LCM
RB Leipzig,LAM
Atlético Madrid,LCM
FC Porto,RCB
Shakhtar Donetsk,LDM
Manchester Utd,Sub
RCD Espanyol,Sub
Roma,LCB
FC Schalke 04,LCB
FC Barcelona,Sub
Chelsea,Sub
Hertha BSC,LCB
Arsenal,RB
Bor. M'gladbach,Sub
Ajax,RCM
AS Monaco,LS
VfL Wolfsburg,Sub
PSG,LB
FC Barcelona,RM
Inter,LCB
Fiorentina,Sub
AS Monaco,RB
Real Madrid,Sub
Fiorentina,Sub
Bayer 04,CAM
Napoli,Sub
Celta Vigo,CAM
FC Barcelona,Sub
Crystal Palace,LM
Southampton,ST
VfL Wolfsburg,Sub
Bor. M'gladbach,RM
Sporting CP,RCB
Beşiktaş,LDM
Shakhtar Donetsk,LCB
Manchester Utd,Sub
West Ham,Sub
Juventus,Sub
Celta Vigo,RB
VfL Wolfsburg,RAM
OGC Nice,LW
1899 Hoffenheim,GK
CSKA Moscow,RB
Villarreal CF,LM
FC Porto,RM
Olym. Lyonnais,RCM
PSG,Sub
VfL Wolfsburg,LAM
SL Benfica,RM
Roma,Sub
Torino,RW
