Name,Shooting,Heading,Weak_foot,Shot_Power,Finishing,Long_Shots,Freekick_Accuracy,Penalties
Cristiano Ronaldo,75.0,85.0,4.0,92.0,93.0,90.0,76.0,85.0
Lionel Messi,72.42857142857143,71.0,4.0,85.0,95.0,88.0,90.0,74.0
Neymar,68.0,62.0,5.0,78.0,89.0,77.0,84.0,81.0
Luis Suárez,73.85714285714286,77.0,4.0,87.0,94.0,86.0,84.0,85.0
Manuel Neuer,20.142857142857142,25.0,4.0,25.0,13.0,16.0,11.0,47.0
De Gea,19.857142857142858,21.0,3.0,31.0,13.0,12.0,19.0,40.0
Robert Lewandowski,72.14285714285714,85.0,4.0,86.0,91.0,82.0,76.0,81.0
Gareth Bale,74.0,86.0,3.0,91.0,87.0,90.0,85.0,76.0
Zlatan Ibrahimović,75.42857142857143,80.0,4.0,93.0,90.0,88.0,82.0,91.0
Thibaut Courtois,17.285714285714285,13.0,3.0,36.0,14.0,17.0,11.0,27.0
Jérôme Boateng,48.285714285714285,86.0,4.0,79.0,34.0,58.0,31.0,46.0
Eden Hazard,66.85714285714286,57.0,4.0,79.0,81.0,82.0,79.0,86.0
Luka Modrić,63.142857142857146,55.0,4.0,73.0,71.0,82.0,77.0,80.0
Mesut Özil,60.42857142857143,54.0,2.0,70.0,75.0,76.0,79.0,67.0
Gonzalo Higuaín,67.71428571428571,80.0,4.0,86.0,92.0,80.0,62.0,70.0
Thiago Silva,59.42857142857143,82.0,3.0,78.0,38.0,71.0,73.0,71.0
Sergio Ramos,60.285714285714285,90.0,3.0,79.0,60.0,55.0,67.0,68.0
Sergio Agüero,69.28571428571429,68.0,4.0,87.0,90.0,84.0,72.0,80.0
Paul Pogba,69.14285714285714,73.0,4.0,90.0,71.0,88.0,82.0,76.0
Antoine Griezmann,68.57142857142857,80.0,3.0,81.0,88.0,82.0,75.0,71.0
Kevin De Bruyne,67.42857142857143,53.0,4.0,85.0,83.0,86.0,84.0,77.0
Marco Reus,68.42857142857143,51.0,4.0,87.0,84.0,85.0,84.0,84.0
Alexis Sánchez,68.28571428571429,70.0,3.0,84.0,85.0,81.0,78.0,77.0
Toni Kroos,66.57142857142857,54.0,5.0,87.0,75.0,88.0,84.0,73.0
Diego Godín,49.714285714285715,92.0,3.0,67.0,42.0,43.0,51.0,50.0
Mats Hummels,55.857142857142854,90.0,3.0,71.0,55.0,51.0,53.0,68.0
Hugo Lloris,15.428571428571429,10.0,1.0,23.0,10.0,14.0,10.0,40.0
Giorgio Chiellini,46.142857142857146,80.0,2.0,78.0,33.0,49.0,31.0,50.0
Philipp Lahm,51.857142857142854,63.0,3.0,57.0,47.0,65.0,59.0,69.0
Pepe,50.57142857142857,82.0,3.0,63.0,46.0,56.0,47.0,57.0
Petr Čech,15.428571428571429,19.0,3.0,21.0,12.0,11.0,19.0,23.0
Gianluigi Buffon,16.714285714285715,13.0,2.0,39.0,15.0,13.0,13.0,22.0
Iniesta,58.714285714285715,54.0,4.0,65.0,73.0,74.0,70.0,71.0
Jan Oblak,12.571428571428571,15.0,3.0,22.0,11.0,12.0,14.0,11.0
James Rodríguez,70.14285714285714,62.0,3.0,86.0,82.0,91.0,86.0,81.0
Pierre-Emerick Aubameyang,69.57142857142857,79.0,4.0,81.0,88.0,79.0,74.0,82.0
Leonardo Bonucci,56.285714285714285,84.0,3.0,74.0,37.0,65.0,61.0,70.0
Arturo Vidal,69.0,81.0,4.0,84.0,77.0,85.0,68.0,84.0
Ivan Rakitić,68.28571428571429,58.0,3.0,84.0,83.0,88.0,84.0,78.0
David Silva,60.714285714285715,54.0,2.0,71.0,70.0,74.0,77.0,77.0
Samir Handanovič,14.285714285714286,10.0,2.0,22.0,10.0,19.0,14.0,23.0
Piqué,53.57142857142857,83.0,3.0,62.0,64.0,51.0,43.0,69.0
Arjen Robben,67.71428571428571,51.0,2.0,86.0,84.0,88.0,83.0,80.0
Paulo Dybala,70.71428571428571,68.0,3.0,82.0,88.0,88.0,82.0,84.0
Marco Verratti,51.857142857142854,55.0,4.0,66.0,52.0,58.0,64.0,64.0
David Alaba,67.28571428571429,75.0,4.0,83.0,63.0,83.0,83.0,80.0
Henrikh Mkhitaryan,61.857142857142854,53.0,5.0,87.0,77.0,75.0,64.0,72.0
Bernd Leno,13.428571428571429,13.0,4.0,23.0,9.0,14.0,8.0,23.0
Thomas Müller,64.14285714285714,82.0,4.0,77.0,87.0,80.0,59.0,60.0
Sergio Busquets,53.42857142857143,68.0,3.0,61.0,60.0,54.0,68.0,60.0
Thiago,62.714285714285715,58.0,3.0,75.0,69.0,82.0,77.0,75.0
Jordi Alba,56.0,63.0,3.0,64.0,73.0,66.0,64.0,59.0
