Name,Pace,Acceleration,Speed
Cristiano Ronaldo,91.5,91,92
Lionel Messi,89.5,92,87
Neymar,91.5,93,90
Luis Suárez,82.5,88,77
Manuel Neuer,59.5,58,61
De Gea,56.0,56,56
Robert Lewandowski,80.5,79,82
Gareth Bale,94.0,93,95
Zlatan Ibrahimović,71.5,69,74
Thibaut Courtois,49.0,46,52
Jérôme Boateng,77.5,74,81
Eden Hazard,90.0,93,87
Luka Modrić,74.0,77,71
Mesut Özil,72.5,77,68
Gonzalo Higuaín,80.0,79,81
Thiago Silva,74.0,72,76
Sergio Ramos,77.5,77,78
Sergio Agüero,89.0,92,86
Paul Pogba,77.0,75,79
Antoine Griezmann,86.5,87,86
Kevin De Bruyne,77.0,76,78
Marco Reus,90.0,89,91
Alexis Sánchez,86.0,88,84
Toni Kroos,46.0,55,37
Diego Godín,64.5,62,67
Mats Hummels,63.5,62,65
Hugo Lloris,64.0,65,63
Giorgio Chiellini,74.0,69,79
Philipp Lahm,67.5,68,67
Pepe,70.0,65,75
Petr Čech,46.0,42,50
Gianluigi Buffon,46.0,49,43
Iniesta,73.5,74,73
Jan Oblak,51.5,43,60
James Rodríguez,76.0,77,75
Pierre-Emerick Aubameyang,95.5,95,96
Leonardo Bonucci,70.0,65,75
Arturo Vidal,75.5,77,74
Ivan Rakitić,66.0,67,65
David Silva,68.5,72,65
Samir Handanovič,55.5,54,57
Piqué,64.5,56,73
Arjen Robben,86.5,87,86
Paulo Dybala,88.5,91,86
Marco Verratti,68.0,72,64
David Alaba,86.0,86,86
Henrikh Mkhitaryan,85.0,86,84
Bernd Leno,49.0,46,52
Thomas Müller,77.5,76,79
Sergio Busquets,43.0,53,33
Thiago,72.5,77,68
Jordi Alba,93.0,93,93
Coutinho,83.0,89,77
Ángel Di María,86.0,86,86
Diego Costa,77.0,76,78
Edinson Cavani,77.5,76,79
Radja Nainggolan,79.5,81,78
Marcelo,78.5,77,80
Claudio Marchisio,79.0,79,79
Miranda,72.0,68,76
Karim Benzema,80.5,79,82
Cesc Fàbregas,63.5,65,62
Franck Ribéry,82.0,85,79
Santi Cazorla,70.0,75,65
Andrea Barzagli,74.0,69,79
Harry Kane,73.0,69,77
Alexandre Lacazette,85.5,84,87
Keylor Navas,53.5,54,53
Romelu Lukaku,85.0,81,89
Christian Eriksen,76.0,78,74
İlkay Gündoğan,75.5,77,74
Toby Alderweireld,66.0,63,69
Willian,89.0,92,86
Miralem Pjanić,75.0,75,75
Juan Mata,69.0,75,63
Javi Martinez,51.0,49,53
Dimitri Payet,77.0,79,75
Dries Mertens,90.0,93,87
Sokratis,78.0,73,83
Marek Hamšik,76.0,75,77
Blaise Matuidi,79.0,79,79
Stéphane Ruffier,47.5,45,50
Laurent Koscielny,79.0,78,80
Filipe Luís,80.0,77,83
Vincent Kompany,68.5,68,69
Aymeric Laporte,69.5,68,71
Yannick Carrasco,88.0,87,89
Carvajal,81.5,78,85
Riyad Mahrez,82.5,86,79
Raphaël Varane,81.5,80,83
Mauro Icardi,79.0,78,80
Lorenzo Insigne,90.0,94,86
Isco,72.5,76,69
Koke,71.5,74,69
Kostas Manolas,79.5,79,80
Danijel Subašić,52.5,51,54
Nicolás Otamendi,71.5,68,75
Shkodran Mustafi,70.0,67,73
Nemanja Matić,67.0,66,68
Alex Sandro,86.0,83,89
Kamil Glik,59.5,56,63
Douglas Costa,92.0,96,88
Kevin Strootman,67.5,66,69
Nicolás Gaitán,82.5,85,80
Bruno,52.0,52,52
Ivan Perišić,85.0,83,87
David Luiz,72.5,72,73
Sami Khedira,66.0,63,69
Benedikt Höwedes,65.0,63,67
Ralf Fährmann,42.5,38,47
Sergio Asenjo,56.5,59,54
Éver Banega,72.0,75,69
Medhi Benatia,69.0,69,69
Steve Mandanda,48.0,53,43
Dani Alves,81.0,79,83
Arda Turan,73.0,78,68
Javier Mascherano,66.0,67,65
Aduriz,70.0,69,71
Yaya Touré,73.5,69,78
Eric Bailly,81.0,79,83
José María Giménez,70.0,68,72
N'Golo Kanté,82.0,83,81
Gerónimo Rulli,51.0,54,48
João Mário,76.0,75,77
André Gomes,69.0,72,66
Marquinhos,73.5,73,74
Carlos Bacca,83.0,83,83
William Carvalho,52.5,52,53
Karim Bellarabi,90.5,91,90
Raheem Sterling,93.0,94,92
Julian Draxler,77.0,77,77
Roberto Firmino,79.0,79,79
Marcos Rojo,74.0,74,74
Kalidou Koulibaly,73.5,69,78
Danilo Pereira,68.0,67,69
Timo Horn,48.0,45,51
Casemiro,60.5,59,62
Vitolo,82.0,83,81
Anthony Lopes,62.0,60,64
Mattia Perin,56.5,57,56
Joel Matip,72.0,67,77
Juan Cuadrado,92.0,91,93
Iago Aspas,83.0,86,80
Marc-André ter Stegen,44.0,38,50
Mario Götze,70.5,73,68
Ander Herrera,73.0,78,68
Javier Pastore,73.5,72,75
Chris Smalling,76.5,76,77
Pedro,83.0,86,80
Giacomo Bonaventura,81.0,81,81
Roman Bürki,48.0,44,52
Oscar,77.5,78,77
Steven N'Zonzi,59.0,56,62
Aaron Ramsey,69.0,69,69
Mateo Musacchio,72.5,75,70
Ömer Toprak,76.0,75,77
José Callejón,89.5,89,90
Adrien Silva,64.5,64,65
Azpilicueta,79.0,79,79
Sebastian Giovinco,88.0,90,86
Anthony Modeste,77.0,75,79
Mario Mandžukić,72.0,69,75
Adam Lallana,75.0,76,74
Olivier Giroud,59.0,60,58
Rui Patrício,55.0,53,57
Yann Sommer,51.0,48,54
Jonas,71.0,72,70
Kévin Gameiro,87.0,88,86
Claudio Bravo,56.0,58,54
Łukasz Piszczek,77.5,75,80
Jan Vertonghen,67.5,69,66
Asmir Begović,55.0,52,58
Naldo,70.0,67,73
Daniel Sturridge,81.0,80,82
José Fonte,54.5,55,54
Ezequiel Garay,52.0,50,54
Samir Nasri,78.5,79,78
Gary Cahill,67.5,69,66
Ashley Williams,70.0,68,72
Leighton Baines,75.5,76,75
Kasper Schmeichel,61.0,62,60
Borja Valero,72.0,76,68
Hatem Ben Arfa,78.0,79,77
Joe Hart,59.5,59,60
Juanfran,82.5,78,87
Wesley Sneijder,72.5,72,73
Nani,82.5,86,79
Stephan Lichtsteiner,81.0,79,83
Wayne Rooney,71.0,69,73
Daniele De Rossi,69.0,69,69
José Reina,56.5,50,63
Quaresma,84.0,85,83
