Name,Passing,Vision,Crossing,Short_Pass,Long_Pass,Curve,Volleys
Cristiano Ronaldo,83.0,85,84,83,77,81,88
Lionel Messi,86.0,90,77,88,87,89,85
Neymar,78.83333333333333,80,75,81,75,79,83
Luis Suárez,80.33333333333333,84,77,83,64,86,88
Manuel Neuer,37.333333333333336,70,15,55,59,14,11
De Gea,30.333333333333332,68,17,31,32,21,13
Robert Lewandowski,75.16666666666667,78,62,83,65,77,86
Gareth Bale,82.33333333333333,79,87,86,80,86,76
Zlatan Ibrahimović,82.33333333333333,83,76,84,76,82,93
Thibaut Courtois,25.333333333333332,44,14,32,31,19,12
Jérôme Boateng,68.16666666666667,76,69,75,80,56,53
Eden Hazard,81.83333333333333,86,80,84,80,82,79
Luka Modrić,82.66666666666667,90,78,92,83,79,74
Mesut Özil,84.83333333333333,93,82,89,84,84,77
Gonzalo Higuaín,72.0,70,68,73,59,74,88
Thiago Silva,69.66666666666667,74,60,79,81,61,63
Sergio Ramos,69.0,63,66,76,70,73,66
Sergio Agüero,77.0,83,70,79,63,82,85
Paul Pogba,83.66666666666667,86,78,85,87,82,84
Antoine Griezmann,80.5,76,82,79,75,84,87
Kevin De Bruyne,85.33333333333333,88,90,89,82,81,82
Marco Reus,85.33333333333333,86,83,86,79,90,88
Alexis Sánchez,79.33333333333333,82,80,80,73,78,83
Toni Kroos,87.0,88,85,89,93,85,82
Diego Godín,58.666666666666664,52,55,79,70,49,47
Mats Hummels,71.33333333333333,79,64,78,82,65,60
Hugo Lloris,20.5,30,13,27,31,11,11
Giorgio Chiellini,54.5,50,58,55,59,60,45
Philipp Lahm,78.66666666666667,82,84,86,77,77,66
Pepe,48.666666666666664,48,46,70,61,44,23
Petr Čech,28.333333333333332,53,19,35,33,13,17
Gianluigi Buffon,28.666666666666668,50,13,37,35,20,17
Iniesta,84.16666666666667,94,79,92,86,80,74
Jan Oblak,24.833333333333332,55,13,29,26,13,13
James Rodríguez,86.0,86,88,84,80,87,91
Pierre-Emerick Aubameyang,76.5,77,77,77,64,78,86
Leonardo Bonucci,64.5,74,44,75,83,56,55
Arturo Vidal,79.33333333333333,80,76,84,82,76,78
