Club_Position,Rating_Group
LW,High
RW,High
LW,High
ST,High
GK,High
GK,High
ST,High
RW,High
ST,High
GK,High
Sub,High
LW,High
RCM,High
CAM,High
ST,High
LCB,High
LCB,High
ST,High
LCM,High
RS,High
RCM,High
LW,High
ST,High
LCM,High
LCB,High
LCB,High
GK,High
LCB,High
RB,High
RCB,High
GK,High
GK,High
LM,High
GK,High
CAM,High
ST,High
RCB,High
LDM,High
CAM,High
LCM,High
GK,High
RCB,High
RM,High
CAM,High
RCM,High
LB,High
RW,High
GK,High
CAM,High
CDM,High
RDM,High
LCB,High
LW,High
RW,High
ST,High
ST,High
LF,High
LB,High
Sub,High
RCB,High
ST,High
Sub,High
Sub,High
Sub,High
Sub,High
RS,High
ST,High
GK,High
ST,High
CAM,High
Sub,High
CB,High
Sub,High
RDM,High
Sub,High
RCB,High
LW,High
ST,High
CB,High
LCM,High
LCM,High
GK,High
LCB,High
LB,High
Sub,High
LCB,Medium
LM,Medium
RB,Medium
RM,Medium
Sub,Medium
ST,Medium
LW,Medium
Sub,Medium
RM,Medium
RCB,Medium
GK,Medium
LCB,Medium
RCB,Medium
LCM,Medium
LB,Medium
RCB,Medium
LM,Medium
LCM,Medium
Sub,Medium
LCM,Medium
LAM,Medium
CB,Medium
LDM,Medium
RCB,Medium
GK,Medium
Sub,Medium
CAM,Medium
Sub,Medium
Sub,Medium
Sub,Medium
Sub,Medium
Sub,Medium
ST,Medium
CDM,Medium
RCB,Medium
Sub,Medium
RCM,Medium
GK,Medium
Sub,Medium
Sub,Medium
RCB,Medium
ST,Medium
CDM,Medium
RM,Medium
RW,Medium
LW,Medium
ST,Medium
Sub,Medium
LCB,Medium
CDM,Medium
GK,Medium
Sub,Medium
LM,Medium
GK,Medium
Res,Medium
RCB,Medium
RM,Medium
RW,Medium
GK,Medium
Sub,Medium
RCM,Medium
Sub,Medium
LCB,Medium
RW,Medium
Res,Medium
GK,Medium
Res,Medium
LDM,Medium
Sub,Medium
RCB,Medium
RCB,Medium
RW,Medium
CM,Medium
RCB,Medium
LS,Medium
LS,Medium
LM,Medium
RCM,Medium
Sub,Medium
GK,Medium
GK,Medium
LS,Medium
LS,Medium
Sub,Medium
RCB,Medium
LCB,Medium
Sub,Medium
Sub,Medium
Sub,Medium
RCB,Medium
RCB,Medium
CAM,Medium
LCB,Medium
LCB,Medium
LB,Medium
GK,Medium
RF,Medium
Sub,Medium
GK,Medium
RB,Medium
CAM,Medium
LW,Medium
RB,Medium
Sub,Medium
RCM,Medium
GK,Medium
RM,Medium
Sub,Medium
RM,Medium
Sub,Medium
Sub,Medium
LW,Medium
LS,Medium
GK,Medium
RF,Medium
RW,Medium
Sub,Medium
Sub,Medium
RCM,Medium
CB,Medium
RCB,Medium
CDM,Medium
Sub,Medium
Sub,Medium
LCB,Medium
Sub,Medium
Sub,Medium
Sub,Medium
Sub,Medium
RCB,Medium
Sub,Medium
Sub,Medium
RCB,Medium
LCM,Medium
CM,Medium
Sub,Medium
Sub,Medium
LDM,Medium
LCB,Medium
Sub,Medium
RDM,Medium
LCB,Medium
LCB,Medium
RM,Medium
ST,Medium
RB,Medium
Sub,Medium
Sub,Medium
Sub,Medium
GK,Medium
LM,Medium
RWB,Medium
RM,Medium
LDM,Medium
RCM,Medium
LM,Medium
LM,Medium
LM,Medium
CDM,Medium
GK,Medium
LCB,Medium
RCB,Medium
GK,Medium
RCB,Medium
ST,Medium
Sub,Medium
ST,Medium
LCM,Medium
RDM,Medium
Res,Medium
LDM,Medium
LM,Medium
RW,Medium
GK,Medium
RB,Medium
LCM,Medium
RS,Medium
GK,Medium
GK,Medium
Sub,Medium
LCM,Medium
Sub,Medium
LCB,Medium
CDM,Medium
GK,Medium
RCB,Medium
ST,Medium
RCM,Medium
GK,Medium
LS,Medium
LS,Medium
CB,Medium
GK,Medium
Res,Medium
Sub,Medium
ST,Medium
GK,Medium
Sub,Medium
LB,Medium
Sub,Medium
CDM,Medium
CM,Medium
GK,Medium
RW,Medium
LCM,Medium
Sub,Medium
LF,Medium
RCB,Medium
RW,Medium
LCM,Medium
RM,Medium
CDM,Medium
CAM,Medium
RM,Medium
ST,Medium
LB,Medium
Sub,Medium
GK,Medium
LW,Medium
Sub,Medium
RW,Medium
Sub,Medium
LCB,Medium
RW,Medium
LW,Medium
RW,Medium
Sub,Medium
Sub,Medium
Sub,Medium
RM,Medium
LS,Medium
LCB,Medium
Sub,Medium
Sub,Medium
RB,Medium
CAM,Medium
GK,Medium
LB,Medium
RB,Medium
Sub,Medium
Sub,Medium
LCM,Medium
ST,Medium
Sub,Medium
RS,Medium
Sub,Medium
RDM,Medium
Res,Medium
RDM,Medium
Sub,Medium
RS,Medium
ST,Medium
GK,Medium
ST,Medium
RCM,Medium
ST,Medium
RCM,Medium
CDM,Medium
Res,Medium
LCM,Medium
CB,Medium
RCB,Medium
Sub,Medium
Sub,Medium
GK,Medium
Res,Medium
Res,Medium
Sub,Medium
Sub,Medium
Sub,Medium
RAM,Medium
LCB,Medium
CAM,Medium
Sub,Medium
Sub,Medium
RCB,Medium
LWB,Medium
Res,Medium
LCB,Medium
RM,Medium
RB,Medium
LCB,Medium
LM,Medium
ST,Medium
ST,Medium
ST,Medium
Sub,Medium
RB,Medium
GK,Medium
ST,Medium
Sub,Medium
GK,Medium
Sub,Medium
GK,Medium
ST,Medium
Sub,Medium
Sub,Medium
Sub,Medium
Res,Medium
Sub,Medium
Sub,Medium
ST,Medium
Sub,Medium
RM,Medium
LW,Medium
RCM,Medium
CAM,Medium
LCM,Medium
RW,Medium
Sub,Medium
LW,Medium
Sub,Medium
LM,Medium
Sub,Medium
Sub,Medium
Sub,Medium
LM,Medium
Sub,Medium
LM,Medium
Sub,Medium
LM,Medium
RDM,Medium
LS,Medium
LCM,Medium
LAM,Medium
LCM,Medium
RCB,Medium
LDM,Medium
Sub,Medium
Sub,Medium
LCB,Medium
LCB,Medium
Sub,Medium
Sub,Medium
LCB,Medium
RB,Medium
Sub,Medium
RCM,Medium
LS,Medium
Sub,Medium
LB,Medium
RM,Medium
LCB,Medium
Sub,Medium
RB,Medium
Sub,Medium
Sub,Medium
CAM,Medium
Sub,Medium
CAM,Medium
Sub,Medium
LM,Medium
ST,Medium
Sub,Medium
RM,Medium
RCB,Medium
LDM,Medium
LCB,Medium
Sub,Medium
Sub,Medium
Sub,Medium
RB,Medium
RAM,Medium
LW,Medium
GK,Medium
RB,Medium
LM,Medium
RM,Medium
RCM,Medium
Sub,Medium
LAM,Medium
RM,Medium
Sub,Medium
RW,Medium
GK,Medium
Sub,Medium
LDM,Medium
Sub,Medium
CAM,Medium
Sub,Medium
ST,Medium
LCM,Medium
Sub,Medium
Sub,Medium
LM,Medium
RCM,Medium
Sub,Medium
Sub,Medium
Res,Medium
Sub,Medium
Sub,Medium
LS,Medium
RS,Medium
Sub,Medium
ST,Medium
RM,Medium
RCB,Medium
Sub,Medium
Sub,Medium
LB,Medium
Sub,Medium
Sub,Medium
Sub,Medium
LCB,Medium
Sub,Medium
ST,Medium
LCB,Medium
LB,Medium
LCM,Medium
Res,Medium
CDM,Medium
Sub,Medium
LB,Medium
Sub,Medium
GK,Medium
LCM,Medium
LB,Medium
RB,Medium
RCB,Medium
RCB,Medium
GK,Medium
GK,Medium
ST,Medium
RCB,Medium
Sub,Medium
GK,Medium
RCM,Medium
GK,Medium
GK,Medium
GK,Medium
LB,Medium
Sub,Medium
LDM,Medium
RDM,Medium
RDM,Medium
LCM,Medium
GK,Medium
CDM,Medium
RCB,Medium
GK,Medium
Sub,Medium
Sub,Medium
Sub,Medium
GK,Medium
RB,Medium
ST,Medium
LCM,Medium
ST,Medium
Sub,Medium
LCB,Medium
RDM,Medium
LDM,Medium
LDM,Medium
Sub,Medium
Sub,Medium
LDM,Medium
Sub,Medium
Sub,Medium
RCB,Medium
RDM,Medium
GK,Medium
Sub,Medium
Sub,Medium
LB,Medium
RCM,Medium
CAM,Medium
RB,Medium
Sub,Medium
LCB,Medium
RCM,Medium
RM,Medium
Sub,Medium
CM,Medium
