Name,Shooting,Heading,Weak_foot,Shot_Power,Finishing,Long_Shots,Freekick_Accuracy,Penalties
Cristiano Ronaldo,75.0,85,4,92,93,90,76,85
Lionel Messi,72.42857142857143,71,4,85,95,88,90,74
Neymar,68.0,62,5,78,89,77,84,81
Luis Suárez,73.85714285714286,77,4,87,94,86,84,85
Manuel Neuer,20.142857142857142,25,4,25,13,16,11,47
De Gea,19.857142857142858,21,3,31,13,12,19,40
Robert Lewandowski,72.14285714285714,85,4,86,91,82,76,81
Gareth Bale,74.0,86,3,91,87,90,85,76
Zlatan Ibrahimović,75.42857142857143,80,4,93,90,88,82,91
Thibaut Courtois,17.285714285714285,13,3,36,14,17,11,27
Jérôme Boateng,48.285714285714285,86,4,79,34,58,31,46
Eden Hazard,66.85714285714286,57,4,79,81,82,79,86
Luka Modrić,63.142857142857146,55,4,73,71,82,77,80
Mesut Özil,60.42857142857143,54,2,70,75,76,79,67
Gonzalo Higuaín,67.71428571428571,80,4,86,92,80,62,70
Thiago Silva,59.42857142857143,82,3,78,38,71,73,71
Sergio Ramos,60.285714285714285,90,3,79,60,55,67,68
Sergio Agüero,69.28571428571429,68,4,87,90,84,72,80
Paul Pogba,69.14285714285714,73,4,90,71,88,82,76
Antoine Griezmann,68.57142857142857,80,3,81,88,82,75,71
Kevin De Bruyne,67.42857142857143,53,4,85,83,86,84,77
Marco Reus,68.42857142857143,51,4,87,84,85,84,84
Alexis Sánchez,68.28571428571429,70,3,84,85,81,78,77
Toni Kroos,66.57142857142857,54,5,87,75,88,84,73
Diego Godín,49.714285714285715,92,3,67,42,43,51,50
Mats Hummels,55.857142857142854,90,3,71,55,51,53,68
Hugo Lloris,15.428571428571429,10,1,23,10,14,10,40
Giorgio Chiellini,46.142857142857146,80,2,78,33,49,31,50
Philipp Lahm,51.857142857142854,63,3,57,47,65,59,69
Pepe,50.57142857142857,82,3,63,46,56,47,57
Petr Čech,15.428571428571429,19,3,21,12,11,19,23
Gianluigi Buffon,16.714285714285715,13,2,39,15,13,13,22
Iniesta,58.714285714285715,54,4,65,73,74,70,71
Jan Oblak,12.571428571428571,15,3,22,11,12,14,11
James Rodríguez,70.14285714285714,62,3,86,82,91,86,81
Pierre-Emerick Aubameyang,69.57142857142857,79,4,81,88,79,74,82
Leonardo Bonucci,56.285714285714285,84,3,74,37,65,61,70
Arturo Vidal,69.0,81,4,84,77,85,68,84
Ivan Rakitić,68.28571428571429,58,3,84,83,88,84,78
David Silva,60.714285714285715,54,2,71,70,74,77,77
Samir Handanovič,14.285714285714286,10,2,22,10,19,14,23
Piqué,53.57142857142857,83,3,62,64,51,43,69
Arjen Robben,67.71428571428571,51,2,86,84,88,83,80
Paulo Dybala,70.71428571428571,68,3,82,88,88,82,84
Marco Verratti,51.857142857142854,55,4,66,52,58,64,64
David Alaba,67.28571428571429,75,4,83,63,83,83,80
Henrikh Mkhitaryan,61.857142857142854,53,5,87,77,75,64,72
Bernd Leno,13.428571428571429,13,4,23,9,14,8,23
Thomas Müller,64.14285714285714,82,4,77,87,80,59,60
Sergio Busquets,53.42857142857143,68,3,61,60,54,68,60
Thiago,62.714285714285715,58,3,75,69,82,77,75
Jordi Alba,56.0,63,3,64,73,66,64,59
Coutinho,61.57142857142857,47,4,79,73,85,79,64
Ángel Di María,62.857142857142854,53,2,87,74,79,72,73
Diego Costa,66.57142857142857,82,4,84,89,72,59,76
Edinson Cavani,71.0,88,3,85,85,78,74,84
Radja Nainggolan,62.714285714285715,59,3,84,76,86,68,63
Marcelo,59.42857142857143,70,4,83,67,66,67,59
Claudio Marchisio,65.28571428571429,68,4,82,65,82,78,78
Miranda,47.0,84,3,70,43,41,39,49
Karim Benzema,69.14285714285714,78,4,83,87,77,73,82
Cesc Fàbregas,66.57142857142857,74,3,77,76,75,81,80
Franck Ribéry,61.285714285714285,41,4,76,76,73,81,78
Santi Cazorla,65.42857142857143,58,5,78,77,82,78,80
Andrea Barzagli,41.42857142857143,76,3,54,27,39,31,60
Harry Kane,69.71428571428571,83,3,86,88,80,66,82
Alexandre Lacazette,69.14285714285714,76,4,81,87,74,78,84
Keylor Navas,14.714285714285714,11,3,21,15,13,15,25
Romelu Lukaku,69.14285714285714,83,4,88,87,76,66,80
Christian Eriksen,63.42857142857143,52,5,78,75,80,87,67
İlkay Gündoğan,60.42857142857143,49,4,77,69,74,74,76
Toby Alderweireld,58.857142857142854,83,3,86,45,66,69,60
Willian,57.714285714285715,29,4,71,75,80,85,60
Miralem Pjanić,66.71428571428571,60,4,79,70,84,91,79
Juan Mata,65.14285714285714,63,3,75,80,70,84,81
Javi Martinez,54.285714285714285,86,3,76,55,63,45,52
Dimitri Payet,66.71428571428571,59,4,78,76,83,91,76
Dries Mertens,61.714285714285715,35,4,80,77,81,77,78
Sokratis,46.714285714285715,84,3,79,44,44,35,38
Marek Hamšik,65.57142857142857,74,4,79,78,82,72,70
Blaise Matuidi,55.42857142857143,73,2,74,65,66,52,56
Stéphane Ruffier,13.571428571428571,12,3,21,11,11,12,25
Laurent Koscielny,45.714285714285715,84,3,54,32,47,49,51
Filipe Luís,57.285714285714285,68,3,71,59,60,75,65
Vincent Kompany,53.857142857142854,84,3,75,45,55,52,63
Aymeric Laporte,51.57142857142857,85,2,70,45,47,77,35
Yannick Carrasco,63.714285714285715,53,4,84,78,75,78,74
Carvajal,43.0,65,3,64,41,36,47,45
Riyad Mahrez,60.285714285714285,45,4,76,77,73,75,72
Raphaël Varane,46.857142857142854,83,3,52,40,53,54,43
Mauro Icardi,64.42857142857143,84,4,81,89,70,45,78
Lorenzo Insigne,59.0,56,3,68,71,79,75,61
Isco,62.714285714285715,55,3,72,79,80,74,76
Koke,62.285714285714285,61,4,84,71,81,76,59
Kostas Manolas,26.142857142857142,80,2,43,10,12,10,26
Danijel Subašić,21.714285714285715,13,2,24,10,14,66,23
Nicolás Otamendi,49.857142857142854,85,3,69,53,56,39,44
Shkodran Mustafi,51.57142857142857,81,3,66,58,52,47,54
Nemanja Matić,61.857142857142854,77,3,78,64,75,67,69
Alex Sandro,57.142857142857146,72,3,78,57,72,59,59
Kamil Glik,34.142857142857146,84,2,57,11,20,26,39
Douglas Costa,65.71428571428571,58,3,88,72,84,78,77
Kevin Strootman,64.71428571428571,68,3,85,68,78,74,77
Nicolás Gaitán,59.714285714285715,54,2,72,73,74,72,71
Bruno,63.857142857142854,61,3,84,66,81,77,75
Ivan Perišić,68.0,78,5,83,78,80,76,76
David Luiz,62.857142857142854,82,3,77,56,71,76,75
Sami Khedira,64.42857142857143,76,4,84,70,80,68,69
Benedikt Höwedes,47.857142857142854,83,3,62,48,31,52,56
Ralf Fährmann,13.142857142857142,14,2,24,11,9,11,21
Sergio Asenjo,16.285714285714285,13,3,24,14,23,22,15
Éver Banega,59.0,45,4,74,65,77,81,67
Medhi Benatia,41.142857142857146,85,3,59,49,24,27,41
Steve Mandanda,12.428571428571429,13,3,24,13,11,12,11
Dani Alves,63.285714285714285,72,3,86,60,78,74,70
Arda Turan,61.857142857142854,70,4,73,72,77,64,73
Javier Mascherano,50.57142857142857,68,3,76,42,55,50,60
Aduriz,68.0,94,3,83,85,80,54,77
Yaya Touré,72.14285714285714,74,4,86,82,85,85,89
Eric Bailly,43.857142857142854,79,3,55,33,48,43,46
José María Giménez,45.857142857142854,79,3,72,37,48,44,38
N'Golo Kanté,51.857142857142854,54,3,72,65,66,49,54
Gerónimo Rulli,16.428571428571427,12,3,24,15,17,20,24
João Mário,59.142857142857146,55,4,77,72,73,67,66
