player1,player2,similarity
Samir Handanovič,Samir Handanovič,0.7125896331753465
Jan Oblak,Samir Handanovič,0.7170971865394866
Samir Handanovič,Jan Oblak,0.7170971865394867
Stéphane Ruffier,Samir Handanovič,0.7192556215593422
Samir Handanovič,Stéphane Ruffier,0.7192556215593422
Samir Handanovič,Bernd Leno,0.7203541700620892
Bernd Leno,Samir Handanovič,0.7203541700620892
Samir Handanovič,Petr Čech,0.7203951828644529
Petr Čech,Samir Handanovič,0.7203951828644529
Jan Oblak,Jan Oblak,0.7216332528602918
Samir Handanovič,Hugo Lloris,0.7232997914300816
Hugo Lloris,Samir Handanovič,0.7232997914300816
Stéphane Ruffier,Jan Oblak,0.7238053412657455
Jan Oblak,Stéphane Ruffier,0.7238053412657456
Bernd Leno,Jan Oblak,0.7249108387413217
Jan Oblak,Bernd Leno,0.7249108387413217
Jan Oblak,Petr Čech,0.7249521109740596
Petr Čech,Jan Oblak,0.7249521109740596
Stéphane Ruffier,Stéphane Ruffier,0.7259839675739669
Bernd Leno,Stéphane Ruffier,0.7270927925545317
Stéphane Ruffier,Bernd Leno,0.7270927925545319
Stéphane Ruffier,Petr Čech,0.727134189015107
Petr Čech,Stéphane Ruffier,0.727134189015107
Jan Oblak,Hugo Lloris,0.7278750929168776
Hugo Lloris,Jan Oblak,0.7278750929168776
Bernd Leno,Bernd Leno,0.728203311088801
Petr Čech,Bernd Leno,0.7282447707758819
Bernd Leno,Petr Čech,0.7282447707758819
Petr Čech,Petr Čech,0.728286232823438
Thibaut Courtois,Samir Handanovič,0.7291831224732171
Samir Handanovič,Thibaut Courtois,0.7291831224732171
Samir Handanovič,Gianluigi Buffon,0.729340695848791
Gianluigi Buffon,Samir Handanovič,0.729340695848791
Keylor Navas,Samir Handanovič,0.7297865858553374
Samir Handanovič,Keylor Navas,0.7297865858553374
Hugo Lloris,Stéphane Ruffier,0.7300659690214316
Stéphane Ruffier,Hugo Lloris,0.7300659690214316
Bernd Leno,Hugo Lloris,0.7311810286096158
Hugo Lloris,Bernd Leno,0.7311810286096158
Hugo Lloris,Petr Čech,0.7312226578307195
Petr Čech,Hugo Lloris,0.7312226578307195
Thibaut Courtois,Jan Oblak,0.7337956395289762
Jan Oblak,Thibaut Courtois,0.7337956395289762
Gianluigi Buffon,Jan Oblak,0.7339542096498943
Jan Oblak,Gianluigi Buffon,0.7339542096498943
Hugo Lloris,Hugo Lloris,0.7341709224024947
Keylor Navas,Jan Oblak,0.7344029201760013
Jan Oblak,Keylor Navas,0.7344029201760013
Stéphane Ruffier,Thibaut Courtois,0.7360043362516895
Thibaut Courtois,Stéphane Ruffier,0.7360043362516895
Gianluigi Buffon,Stéphane Ruffier,0.7361633836625878
Stéphane Ruffier,Gianluigi Buffon,0.7361633836625878
Keylor Navas,Stéphane Ruffier,0.7366134447901636
Stéphane Ruffier,Keylor Navas,0.7366134447901636
Thibaut Courtois,Bernd Leno,0.737128465750812
Bernd Leno,Thibaut Courtois,0.737128465750812
Petr Čech,Thibaut Courtois,0.7371704335846068
Thibaut Courtois,Petr Čech,0.7371704335846068
Gianluigi Buffon,Bernd Leno,0.7372877560813205
Bernd Leno,Gianluigi Buffon,0.7372877560813205
Petr Čech,Gianluigi Buffon,0.7373297329841859
Gianluigi Buffon,Petr Čech,0.7373297329841859
Bernd Leno,Keylor Navas,0.7377385046056478
Keylor Navas,Bernd Leno,0.7377385046056478
Keylor Navas,Petr Čech,0.7377805071715284
Petr Čech,Keylor Navas,0.7377805071715284
Manuel Neuer,Samir Handanovič,0.7397444429377671
Samir Handanovič,Manuel Neuer,0.7397444429377672
Hugo Lloris,Thibaut Courtois,0.7401426793833698
Thibaut Courtois,Hugo Lloris,0.7401426793833698
Gianluigi Buffon,Hugo Lloris,0.7403026210726414
Hugo Lloris,Gianluigi Buffon,0.7403026210726414
Hugo Lloris,Keylor Navas,0.740755212765982
Keylor Navas,Hugo Lloris,0.740755212765982
De Gea,Samir Handanovič,0.741542569383619
Samir Handanovič,De Gea,0.741542569383619
Jan Oblak,Manuel Neuer,0.7444237666286124
Manuel Neuer,Jan Oblak,0.7444237666286125
Thibaut Courtois,Thibaut Courtois,0.7461630107225453
De Gea,Jan Oblak,0.7462332672939769
Jan Oblak,De Gea,0.7462332672939769
Gianluigi Buffon,Thibaut Courtois,0.7463242533798482
Thibaut Courtois,Gianluigi Buffon,0.7463242533798482
Gianluigi Buffon,Gianluigi Buffon,0.7464855308810043
Manuel Neuer,Stéphane Ruffier,0.7466644536061445
Stéphane Ruffier,Manuel Neuer,0.7466644536061446
Keylor Navas,Thibaut Courtois,0.7467805264606173
Thibaut Courtois,Keylor Navas,0.7467805264606173
Gianluigi Buffon,Keylor Navas,0.7469419025604483
Keylor Navas,Gianluigi Buffon,0.7469419025604483
Keylor Navas,Keylor Navas,0.7473985532474565
Bernd Leno,Manuel Neuer,0.7478048647381218
Manuel Neuer,Bernd Leno,0.7478048647381218
Petr Čech,Manuel Neuer,0.7478474404243588
Manuel Neuer,Petr Čech,0.7478474404243588
Stéphane Ruffier,De Gea,0.7484794007990897
De Gea,Stéphane Ruffier,0.7484794007990897
De Gea,Bernd Leno,0.7496225839740814
Bernd Leno,De Gea,0.7496225839740814
De Gea,Petr Čech,0.7496652631507442
Petr Čech,De Gea,0.7496652631507443
Hugo Lloris,Manuel Neuer,0.7508627355469647
Manuel Neuer,Hugo Lloris,0.7508627355469648
De Gea,Hugo Lloris,0.752687887671974
Hugo Lloris,De Gea,0.752687887671974
Paulo Dybala,Samir Handanovič,0.7528775560226588
Samir Handanovič,Paulo Dybala,0.7528775560226588
Samir Handanovič,Karim Benzema,0.7535200676063843
Karim Benzema,Samir Handanovič,0.7535200676063843
Andrea Barzagli,Samir Handanovič,0.7549998879359144
Samir Handanovič,Andrea Barzagli,0.7549998879359144
Samir Handanovič,Giorgio Chiellini,0.7569663817927845
Giorgio Chiellini,Samir Handanovič,0.7569663817927845
Thibaut Courtois,Manuel Neuer,0.7569702639791835
Manuel Neuer,Thibaut Courtois,0.7569702639791837
Gianluigi Buffon,Manuel Neuer,0.7571338420380115
Manuel Neuer,Gianluigi Buffon,0.7571338420380115
Manuel Neuer,Keylor Navas,0.7575967236730338
Keylor Navas,Manuel Neuer,0.7575967236730339
Paulo Dybala,Jan Oblak,0.7576399544669267
Jan Oblak,Paulo Dybala,0.7576399544669267
Gonzalo Higuaín,Samir Handanovič,0.7582714757457872
Samir Handanovič,Gonzalo Higuaín,0.7582714757457872
Karim Benzema,Jan Oblak,0.7582865303186626
Jan Oblak,Karim Benzema,0.7582865303186626
Sergio Agüero,Samir Handanovič,0.7586480119564012
Samir Handanovič,Sergio Agüero,0.7586480119564012
Thibaut Courtois,De Gea,0.758810261918173
De Gea,Thibaut Courtois,0.758810261918173
Gianluigi Buffon,De Gea,0.7589742375927402
De Gea,Gianluigi Buffon,0.7589742375927403
De Gea,Keylor Navas,0.7594382443726923
Keylor Navas,De Gea,0.7594382443726923
Jan Oblak,Andrea Barzagli,0.7597757113921527
Andrea Barzagli,Jan Oblak,0.7597757113921527
Paulo Dybala,Stéphane Ruffier,0.7599204216628094
Stéphane Ruffier,Paulo Dybala,0.7599204216628094
Mesut Özil,Samir Handanovič,0.7604804899554358
Samir Handanovič,Mesut Özil,0.7604804899554358
Stéphane Ruffier,Karim Benzema,0.7605689436830532
Karim Benzema,Stéphane Ruffier,0.7605689436830532
Bernd Leno,Paulo Dybala,0.7610810791764966
Paulo Dybala,Bernd Leno,0.7610810791764966
Petr Čech,Paulo Dybala,0.7611244107336392
Paulo Dybala,Petr Čech,0.7611244107336392
Bernd Leno,Karim Benzema,0.7617305917109232
Karim Benzema,Bernd Leno,0.7617305917109232
Giorgio Chiellini,Jan Oblak,0.7617546444925754
Jan Oblak,Giorgio Chiellini,0.7617546444925754
Karim Benzema,Petr Čech,0.7617739602475551
Petr Čech,Karim Benzema,0.7617739602475551
Andrea Barzagli,Stéphane Ruffier,0.7620626071344415
Stéphane Ruffier,Andrea Barzagli,0.7620626071344415
Gonzalo Higuaín,Jan Oblak,0.7630679939412581
Jan Oblak,Gonzalo Higuaín,0.7630679939412582
Bernd Leno,Andrea Barzagli,0.7632265364955386
Andrea Barzagli,Bernd Leno,0.7632265364955386
Andrea Barzagli,Petr Čech,0.763269990202619
Petr Čech,Andrea Barzagli,0.763269990202619
Jan Oblak,Sergio Agüero,0.7634469119674134
Sergio Agüero,Jan Oblak,0.7634469119674134
Stéphane Ruffier,Giorgio Chiellini,0.7640474967475741
Giorgio Chiellini,Stéphane Ruffier,0.7640474967475741
Paulo Dybala,Hugo Lloris,0.7641932381432499
Hugo Lloris,Paulo Dybala,0.7641932381432499
Lionel Messi,Samir Handanovič,0.7647969822809304
Samir Handanovič,Lionel Messi,0.7647969822809304
Hugo Lloris,Karim Benzema,0.7648454066184343
Karim Benzema,Hugo Lloris,0.7648454066184343
Giorgio Chiellini,Bernd Leno,0.7652144577116886
Bernd Leno,Giorgio Chiellini,0.7652144577116886
Petr Čech,Giorgio Chiellini,0.7652580245995118
Giorgio Chiellini,Petr Čech,0.7652580245995118
Jan Oblak,Mesut Özil,0.7652909814799709
Mesut Özil,Jan Oblak,0.765290981479971
Gonzalo Higuaín,Stéphane Ruffier,0.7653647993277105
Stéphane Ruffier,Gonzalo Higuaín,0.7653647993277105
Stéphane Ruffier,Sergio Agüero,0.7657448578825871
Sergio Agüero,Stéphane Ruffier,0.7657448578825871
Antoine Griezmann,Samir Handanovič,0.7660380341792367
Samir Handanovič,Antoine Griezmann,0.7660380341792367
Hugo Lloris,Andrea Barzagli,0.7663474685147511
Andrea Barzagli,Hugo Lloris,0.7663474685147511
Gonzalo Higuaín,Bernd Leno,0.7665337722618865
Bernd Leno,Gonzalo Higuaín,0.7665337722618865
Petr Čech,Gonzalo Higuaín,0.7665774142638536
Gonzalo Higuaín,Petr Čech,0.7665774142638536
Bernd Leno,Sergio Agüero,0.7669144112957248
Sergio Agüero,Bernd Leno,0.7669144112957248
Petr Čech,Sergio Agüero,0.7669580749690782
Sergio Agüero,Petr Čech,0.7669580749690782
Samir Handanovič,Cristiano Ronaldo,0.7672544728318117
Cristiano Ronaldo,Samir Handanovič,0.7672544728318118
Mesut Özil,Stéphane Ruffier,0.7675944779736292
Stéphane Ruffier,Mesut Özil,0.7675944779736292
Manuel Neuer,Manuel Neuer,0.7679340470038145
Giorgio Chiellini,Hugo Lloris,0.7683435185978607
Hugo Lloris,Giorgio Chiellini,0.7683435185978607
Samir Handanovič,Leonardo Bonucci,0.7684380272443452
Leonardo Bonucci,Samir Handanovič,0.7684380272443452
Bernd Leno,Mesut Özil,0.7687668563871155
Mesut Özil,Bernd Leno,0.7687668563871155
Mesut Özil,Petr Čech,0.7688106255279842
Petr Čech,Mesut Özil,0.7688106255279842
Samir Handanovič,Eden Hazard,0.7689816338206329
Eden Hazard,Samir Handanovič,0.7689816338206329
Samir Handanovič,Sokratis,0.7694006593742789
Sokratis,Samir Handanovič,0.769400659374279
Samir Handanovič,Romelu Lukaku,0.7695809413159734
Romelu Lukaku,Samir Handanovič,0.7695809413159735
Lionel Messi,Jan Oblak,0.7696347781873949
Jan Oblak,Lionel Messi,0.7696347781873949
Gonzalo Higuaín,Hugo Lloris,0.7696682279958871
Hugo Lloris,Gonzalo Higuaín,0.7696682279958871
Manuel Neuer,De Gea,0.7698006950493257
De Gea,Manuel Neuer,0.7698006950493257
Hugo Lloris,Sergio Agüero,0.7700504235119645
Sergio Agüero,Hugo Lloris,0.7700504235119645
Franck Ribéry,Samir Handanovič,0.7701291113890274
Samir Handanovič,Franck Ribéry,0.7701291113890274
Thibaut Courtois,Paulo Dybala,0.7704091970778338
Paulo Dybala,Thibaut Courtois,0.7704091970778338
Paulo Dybala,Gianluigi Buffon,0.7705756792330227
Gianluigi Buffon,Paulo Dybala,0.7705756792330228
Samir Handanovič,Arjen Robben,0.7707504784051759
Arjen Robben,Samir Handanovič,0.7707504784051759
Antoine Griezmann,Jan Oblak,0.7708836804772853
Jan Oblak,Antoine Griezmann,0.7708836804772854
Keylor Navas,Paulo Dybala,0.7710467786747698
Paulo Dybala,Keylor Navas,0.7710467786747698
Thibaut Courtois,Karim Benzema,0.7710666703008984
Karim Benzema,Thibaut Courtois,0.7710666703008984
Gianluigi Buffon,Karim Benzema,0.7712332945332582
Karim Benzema,Gianluigi Buffon,0.7712332945332582
De Gea,De Gea,0.7716718804310045
Keylor Navas,Karim Benzema,0.7717047960149465
Karim Benzema,Keylor Navas,0.7717047960149465
Samir Handanovič,Pepe,0.7718124462267434
Pepe,Samir Handanovič,0.7718124462267434
Mesut Özil,Hugo Lloris,0.771910443490919
Hugo Lloris,Mesut Özil,0.771910443490919
Lionel Messi,Stéphane Ruffier,0.7719513493424917
Stéphane Ruffier,Lionel Messi,0.7719513493424917
