club_position,name,work_rate,rating,contract_expiry
Sub,Daniele Rugani,Low / Medium,80,2021
Sub,Dani Alves,High / Low,84,2018
Sub,Mario Lemina,Medium / Medium,77,2020
Sub,Emil Audero,Medium / Medium,67,2018
GK,Gianluigi Buffon,Medium / Medium,88,2018
Res,Matheus Pereira,High / Medium,70,2017
Res,Matheus Pereira,Medium / Medium,70,2017
Sub,Kwadwo Asamoah,High / High,80,2017
Res,Moise Kean,Medium / Medium,62,2017
LM,Mario Mandžukić,High / High,83,2019
RM,Juan Cuadrado,High / Medium,83,2019
LB,Alex Sandro,High / High,84,2020
RB,Stephan Lichtsteiner,High / High,83,2018
Res,Paolo De Ceglie,High / Medium,69,2017
RDM,Miralem Pjanić,Medium / Medium,85,2021
Sub,Stefano Sturaro,High / High,77,2021
ST,Gonzalo Higuaín,High / Medium,89,2021
Sub,Tomás Rincón,Medium / High,77,2020
CAM,Paulo Dybala,Medium / Medium,86,2020
LDM,Sami Khedira,High / High,84,2019
Res,Rolando Mandragora,Medium / High,69,2021
Sub,Andrea Barzagli,Low / High,86,2018
Sub,Neto,Medium / Medium,80,2019
Res,Federico Mattiello,Medium / Medium,70,2018
LCB,Giorgio Chiellini,Low / High,88,2018
Sub,Medhi Benatia,Medium / Medium,84,2019
Sub,Claudio Marchisio,High / High,86,2020
RCB,Leonardo Bonucci,Low / High,87,2021
Sub,Marko Pjaca,Medium / Medium,76,2021
